chap_num,verse_num,token_num,token_str,term_str,chunk_100_id,chunk_80_id,chunk_60_id
2,12,1,"fact,",fact,1,1,1
2,12,2,they,they,1,1,1
2,12,3,are,are,1,1,1
2,12,4,the,the,1,1,1
2,12,5,"troublemakers,",troublemakers,1,1,1
2,12,6,but,but,1,1,1
2,12,7,they,they,1,1,1
2,12,8,are,are,1,1,1
2,12,9,not,not,1,1,1
2,12,10,aware.,aware,1,1,1
2,13,0,And,and,1,1,1
2,13,1,when,when,1,1,1
2,13,2,it,it,1,1,1
2,13,3,is,is,1,1,1
2,13,4,said,said,1,1,1
2,13,5,to,to,1,1,1
2,13,6,"them,",them,1,1,1
2,13,7,“Believe,believe,1,1,1
2,13,8,as,as,1,1,1
2,13,9,the,the,1,1,1
2,13,10,people,people,1,1,1
2,13,11,have,have,1,1,1
2,13,12,"believed,”",believed,1,1,1
2,13,13,they,they,1,1,1
2,13,14,"say,",say,1,1,1
2,13,15,“Shall,shall,1,1,1
2,13,16,we,we,1,1,1
2,13,17,believe,believe,1,1,1
2,13,18,as,as,1,1,1
2,13,19,the,the,1,1,1
2,13,20,fools,fools,1,1,1
2,13,21,have,have,1,1,1
2,13,22,believed?”,believed,1,1,1
2,13,23,In,in,1,1,1
2,13,24,"fact,",fact,1,1,1
2,13,25,it,it,1,1,1
2,13,26,is,is,1,1,1
2,13,27,they,they,1,1,1
2,13,28,who,who,1,1,1
2,13,29,are,are,1,1,1
2,13,30,the,the,1,1,1
2,13,31,"fools,",fools,1,1,1
2,13,32,but,but,1,1,1
2,13,33,they,they,1,1,1
2,13,34,do,do,1,1,1
2,13,35,not,not,1,1,1
2,13,36,know.,know,1,1,1
2,14,0,And,and,1,1,1
2,14,1,when,when,1,1,1
2,14,2,they,they,1,1,1
2,14,3,come,come,1,1,1
2,14,4,across,across,1,1,1
2,14,5,those,those,1,1,1
2,14,6,who,who,1,1,1
2,14,7,"believe,",believe,1,1,1
2,14,8,they,they,1,1,1
2,14,9,"say,",say,1,1,1
2,14,10,“We,we,1,1,1
2,14,11,believe”;,believe,1,1,1
2,14,12,but,but,1,1,1
2,14,13,when,when,1,1,1
2,14,14,they,they,1,1,1
2,14,15,are,are,1,1,1
2,14,16,alone,alone,1,1,1
2,14,17,with,with,1,1,1
2,14,18,their,their,1,1,1
2,14,19,"devils,",devils,1,1,1
2,14,20,they,they,1,1,1
2,14,21,"say,",say,1,1,1
2,14,22,“We,we,1,1,1
2,14,23,are,are,1,1,1
2,14,24,with,with,1,1,1
2,14,25,you;,you,1,1,1
2,14,26,we,we,1,1,1
2,14,27,were,were,1,1,1
2,14,28,only,only,1,1,1
2,14,29,ridiculing.”,ridiculing,1,1,1
2,15,0,It,it,1,1,1
2,15,1,is,is,1,1,1
2,15,2,God,god,1,1,1
2,15,3,who,who,1,1,1
2,15,4,ridicules,ridicules,1,1,1
2,15,5,"them,",them,1,1,1
2,15,6,and,and,1,1,1
2,15,7,leaves,leaves,1,1,1
2,15,8,them,them,1,1,1
2,15,9,bewildered,bewildered,1,1,1
2,15,10,in,in,1,1,1
2,15,11,their,their,1,1,1
2,15,12,transgression.,transgression,1,1,1
2,16,0,Those,those,1,1,1
2,16,1,are,are,1,1,1
2,16,2,they,they,1,1,1
2,16,3,who,who,1,1,1
2,16,4,have,have,1,1,1
2,16,5,bartered,bartered,1,1,1
2,16,6,error,error,1,1,1
2,16,7,for,for,1,1,1
2,16,8,guidance;,guidance,1,1,1
2,16,9,but,but,1,1,1
2,16,10,their,their,1,1,1
2,16,11,trade,trade,1,1,1
2,16,12,does,does,1,1,1
2,16,13,not,not,1,1,1
2,16,14,profit,profit,1,1,1
2,16,15,"them,",them,1,1,1
2,16,16,and,and,1,1,1
2,16,17,they,they,1,1,1
2,16,18,are,are,1,1,1
2,16,19,not,not,1,1,1
2,16,20,guided.,guided,1,1,1
2,17,0,Their,their,1,1,1
2,17,1,likeness,likeness,1,1,1
2,17,2,is,is,1,1,1
2,17,3,that,that,1,1,1
2,17,4,of,of,1,1,1
2,17,5,a,a,1,1,1
2,17,6,person,person,1,1,1
2,17,7,who,who,1,1,1
2,17,8,kindled,kindled,1,1,1
2,17,9,a,a,1,1,1
2,17,10,fire;,fire,1,1,1
2,17,11,when,when,1,1,1
2,17,12,it,it,1,1,1
2,17,13,illuminated,illuminated,1,1,1
2,17,14,all,all,1,1,1
2,17,15,around,around,1,1,1
2,17,16,"him,",him,1,1,1
2,17,17,God,god,1,1,1
2,17,18,took,took,1,1,1
2,17,19,away,away,1,1,1
2,17,20,their,their,1,1,1
2,17,21,"light,",light,1,1,1
2,17,22,and,and,1,1,1
2,17,23,left,left,1,1,1
2,17,24,them,them,1,1,1
2,17,25,in,in,1,1,1
2,17,26,"darkness,",darkness,1,1,1
2,17,27,unable,unable,1,1,1
2,17,28,to,to,1,1,1
2,17,29,see.,see,1,1,1
2,18,0,"Deaf,",deaf,1,1,1
2,18,1,"dumb,",dumb,1,1,1
2,18,2,blind.,blind,1,1,1
2,18,3,They,they,1,1,1
2,18,4,will,will,1,1,1
2,18,5,not,not,1,1,1
2,18,6,return.,return,1,1,1
2,19,0,Or,or,1,1,1
2,19,1,like,like,1,1,1
2,19,2,a,a,1,1,1
2,19,3,cloudburst,cloudburst,1,1,1
2,19,4,from,from,1,1,1
2,19,5,the,the,1,1,1
2,19,6,"sky,",sky,1,1,1
2,19,7,in,in,1,1,1
2,19,8,which,which,1,1,1
2,19,9,is,is,1,1,1
2,19,10,"darkness,",darkness,1,1,1
2,19,11,and,and,1,1,1
2,19,12,"thunder,",thunder,1,1,1
2,19,13,and,and,1,1,1
2,19,14,lightning.,lightning,1,1,1
2,19,15,They,they,1,1,1
2,19,16,press,press,1,1,1
2,19,17,their,their,1,1,1
2,19,18,fingers,fingers,1,1,1
2,19,19,into,into,1,1,1
2,19,20,their,their,1,1,1
2,19,21,ears,ears,1,1,1
2,19,22,from,from,1,1,1
2,19,23,the,the,1,1,1
2,19,24,"thunderbolts,",thunderbolts,1,1,1
2,19,25,in,in,1,1,1
2,19,26,fear,fear,1,1,1
2,19,27,of,of,1,1,1
2,19,28,death.,death,1,1,1
2,19,29,But,but,1,1,1
2,19,30,God,god,1,1,1
2,19,31,surrounds,surrounds,1,1,1
2,19,32,the,the,1,1,1
2,19,33,disbelievers.,disbelievers,1,1,1
2,20,0,The,the,1,1,1
2,20,1,lightning,lightning,1,1,1
2,20,2,almost,almost,1,1,1
2,20,3,snatches,snatches,1,1,1
2,20,4,their,their,1,1,1
2,20,5,sight,sight,1,1,1
2,20,6,away.,away,1,1,1
2,20,7,Whenever,whenever,1,1,1
2,20,8,it,it,1,1,1
2,20,9,illuminates,illuminates,1,1,1
2,20,10,for,for,1,1,1
2,20,11,"them,",them,1,1,1
2,20,12,they,they,1,1,1
2,20,13,walk,walk,1,1,1
2,20,14,in,in,1,1,1
2,20,15,it;,it,1,1,1
2,20,16,but,but,1,1,1
2,20,17,when,when,1,1,1
2,20,18,it,it,1,1,1
2,20,19,grows,grows,1,1,1
2,20,20,dark,dark,1,1,1
2,20,21,over,over,1,1,1
2,20,22,"them,",them,1,1,1
2,20,23,they,they,1,1,1
2,20,24,stand,stand,1,1,1
2,20,25,still.,still,1,1,1
2,20,26,Had,had,1,1,1
2,20,27,God,god,1,1,1
2,20,28,"willed,",willed,1,1,1
2,20,29,He,he,1,1,1
2,20,30,could,could,1,1,1
2,20,31,have,have,1,1,1
2,20,32,taken,taken,1,1,1
2,20,33,away,away,1,1,1
2,20,34,their,their,1,1,1
2,20,35,hearing,hearing,1,1,1
2,20,36,and,and,1,1,1
2,20,37,their,their,1,1,1
2,20,38,sight.,sight,1,1,1
2,20,39,God,god,1,1,1
2,20,40,is,is,1,1,1
2,20,41,capable,capable,1,1,1
2,20,42,of,of,1,1,1
2,20,43,everything.,everything,1,1,1
2,21,0,O,o,1,1,1
2,21,1,people!,people,1,1,1
2,21,2,Worship,worship,1,1,1
2,21,3,your,your,1,1,1
2,21,4,Lord,lord,1,1,1
2,21,5,who,who,1,1,1
2,21,6,created,created,1,1,1
2,21,7,you,you,1,1,1
2,21,8,and,and,1,1,1
2,21,9,those,those,1,1,1
2,21,10,before,before,1,1,1
2,21,11,"you,",you,1,1,1
2,21,12,that,that,1,1,1
2,21,13,you,you,1,1,1
2,21,14,may,may,1,1,1
2,21,15,attain,attain,1,1,1
2,21,16,piety.,piety,1,1,1
2,22,0,He,he,1,1,1
2,22,1,who,who,1,1,1
2,22,2,made,made,1,1,1
2,22,3,the,the,1,1,1
2,22,4,earth,earth,1,1,1
2,22,5,a,a,1,1,1
2,22,6,habitat,habitat,1,1,1
2,22,7,for,for,1,1,1
2,22,8,"you,",you,1,1,1
2,22,9,and,and,1,1,1
2,22,10,the,the,1,1,1
2,22,11,sky,sky,1,1,1
2,22,12,a,a,1,1,1
2,22,13,"structure,",structure,1,1,1
2,22,14,and,and,1,1,1
2,22,15,sends,sends,1,1,1
2,22,16,water,water,1,1,1
2,22,17,down,down,1,1,1
2,22,18,from,from,1,1,1
2,22,19,the,the,1,1,1
2,22,20,"sky,",sky,1,1,1
2,22,21,and,and,1,1,1
2,22,22,brings,brings,1,1,1
2,22,23,out,out,1,1,1
2,22,24,fruits,fruits,1,1,1
2,22,25,"thereby,",thereby,1,1,1
2,22,26,as,as,1,1,1
2,22,27,a,a,1,1,1
2,22,28,sustenance,sustenance,1,1,1
2,22,29,for,for,1,1,1
2,22,30,you.,you,1,1,1
2,22,31,"Therefore,",therefore,1,1,1
2,22,32,do,do,1,1,1
2,22,33,not,not,1,1,1
2,22,34,assign,assign,1,1,1
2,22,35,rivals,rivals,1,1,1
2,22,36,to,to,1,1,1
2,22,37,God,god,1,1,1
2,22,38,while,while,1,1,1
2,22,39,you,you,1,1,1
2,22,40,know.,know,1,1,1
2,23,0,And,and,1,1,1
2,23,1,if,if,1,1,1
2,23,2,you,you,1,1,1
2,23,3,are,are,1,1,1
2,23,4,in,in,1,1,1
2,23,5,doubt,doubt,1,1,1
2,23,6,about,about,1,1,1
2,23,7,what,what,1,1,1
2,23,8,We,we,1,1,1
2,23,9,have,have,1,1,1
2,23,10,revealed,revealed,1,1,1
2,23,11,to,to,1,1,1
2,23,12,Our,our,1,1,1
2,23,13,"servant,",servant,1,1,1
2,23,14,then,then,1,1,1
2,23,15,produce,produce,1,1,1
2,23,16,a,a,1,1,1
2,23,17,chapter,chapter,1,1,1
2,23,18,like,like,1,1,1
2,23,19,"these,",these,1,1,1
2,23,20,and,and,1,1,1
2,23,21,call,call,1,1,1
2,23,22,your,your,1,1,1
2,23,23,witnesses,witnesses,1,1,1
2,23,24,apart,apart,1,1,1
2,23,25,from,from,1,1,1
2,23,26,"God,",god,1,1,1
2,23,27,if,if,1,1,1
2,23,28,you,you,1,1,1
2,23,29,are,are,1,1,1
2,23,30,truthful.,truthful,1,1,1
2,24,0,But,but,1,1,1
2,24,1,if,if,1,1,1
2,24,2,you,you,1,1,1
2,24,3,do,do,1,1,1
2,24,4,not—and,notand,1,1,1
2,24,5,you,you,1,1,1
2,24,6,will,will,1,1,1
2,24,7,not—then,notthen,1,1,1
2,24,8,beware,beware,1,1,1
2,24,9,the,the,1,1,1
2,24,10,Fire,fire,1,1,1
2,24,11,whose,whose,1,1,1
2,24,12,fuel,fuel,1,1,1
2,24,13,is,is,1,1,1
2,24,14,people,people,1,1,1
2,24,15,and,and,1,1,1
2,24,16,"stones,",stones,1,1,1
2,24,17,prepared,prepared,1,1,1
2,24,18,for,for,1,1,1
2,24,19,the,the,1,1,1
2,24,20,disbelievers.,disbelievers,1,1,1
2,25,0,And,and,1,1,1
2,25,1,give,give,1,1,1
2,25,2,good,good,1,1,1
2,25,3,news,news,1,1,1
2,25,4,to,to,1,1,1
2,25,5,those,those,1,1,1
2,25,6,who,who,1,1,1
2,25,7,believe,believe,1,1,1
2,25,8,and,and,1,1,1
2,25,9,do,do,1,1,1
2,25,10,righteous,righteous,1,1,1
2,25,11,deeds;,deeds,1,1,1
2,25,12,that,that,1,1,1
2,25,13,they,they,1,1,1
2,25,14,will,will,1,1,1
2,25,15,have,have,1,1,1
2,25,16,gardens,gardens,1,1,1
2,25,17,beneath,beneath,1,1,1
2,25,18,which,which,1,1,1
2,25,19,rivers,rivers,1,1,1
2,25,20,flow.,flow,1,1,1
2,25,21,Whenever,whenever,1,1,1
2,25,22,they,they,1,1,1
2,25,23,are,are,1,1,1
2,25,24,provided,provided,1,1,1
2,25,25,with,with,1,1,1
2,25,26,fruit,fruit,1,1,1
2,25,27,therefrom,therefrom,1,1,1
2,25,28,as,as,1,1,1
2,25,29,"sustenance,",sustenance,1,1,1
2,25,30,they,they,1,1,1
2,25,31,will,will,1,1,1
2,25,32,"say,",say,1,1,1
2,25,33,“This,this,1,1,1
2,25,34,is,is,1,1,1
2,25,35,what,what,1,1,1
2,25,36,we,we,1,1,1
2,25,37,were,were,1,1,1
2,25,38,provided,provided,1,1,1
2,25,39,with,with,1,1,1
2,25,40,"before,”",before,1,1,1
2,25,41,and,and,1,1,1
2,25,42,they,they,1,1,1
2,25,43,will,will,1,1,1
2,25,44,be,be,1,1,1
2,25,45,given,given,1,1,1
2,25,46,the,the,1,1,1
2,25,47,like,like,1,1,1
2,25,48,of,of,1,1,1
2,25,49,it.,it,1,1,1
2,25,50,And,and,1,1,1
2,25,51,they,they,1,1,1
2,25,52,will,will,1,1,1
2,25,53,have,have,1,1,1
2,25,54,pure,pure,1,1,1
2,25,55,spouses,spouses,1,1,1
2,25,56,"therein,",therein,1,1,1
2,25,57,and,and,1,1,1
2,25,58,they,they,1,1,1
2,25,59,will,will,1,1,1
2,25,60,abide,abide,1,1,1
2,25,61,therein,therein,1,1,1
2,25,62,forever.,forever,1,1,1
2,26,0,God,god,1,1,1
2,26,1,does,does,1,1,1
2,26,2,not,not,1,1,1
2,26,3,shy,shy,1,1,1
2,26,4,away,away,1,1,1
2,26,5,from,from,1,1,1
2,26,6,making,making,1,1,1
2,26,7,an,an,1,1,1
2,26,8,example,example,1,1,1
2,26,9,of,of,1,1,1
2,26,10,a,a,1,1,1
2,26,11,"gnat,",gnat,1,1,1
2,26,12,or,or,1,1,1
2,26,13,something,something,1,1,1
2,26,14,above,above,1,1,1
2,26,15,it.,it,1,1,1
2,26,16,As,as,1,1,1
2,26,17,for,for,1,1,1
2,26,18,those,those,1,1,1
2,26,19,who,who,1,1,1
2,26,20,"believe,",believe,1,1,1
2,26,21,they,they,1,1,1
2,26,22,know,know,1,1,1
2,26,23,that,that,1,1,1
2,26,24,it,it,1,1,1
2,26,25,is,is,1,1,1
2,26,26,the,the,1,1,1
2,26,27,Truth,truth,1,1,1
2,26,28,from,from,1,1,1
2,26,29,their,their,1,1,1
2,26,30,Lord.,lord,1,1,1
2,26,31,But,but,1,1,1
2,26,32,as,as,1,1,1
2,26,33,for,for,1,1,1
2,26,34,those,those,1,1,1
2,26,35,who,who,1,1,1
2,26,36,"disbelieve,",disbelieve,1,1,1
2,26,37,they,they,1,1,1
2,26,38,"say,",say,1,1,1
2,26,39,“What,what,1,1,1
2,26,40,did,did,1,1,1
2,26,41,God,god,1,1,1
2,26,42,intend,intend,1,1,1
2,26,43,by,by,1,1,1
2,26,44,this,this,1,1,1
2,26,45,example?”,example,1,1,1
2,26,46,He,he,1,1,1
2,26,47,leads,leads,1,1,1
2,26,48,astray,astray,1,1,1
2,26,49,many,many,1,1,1
2,26,50,"thereby,",thereby,1,1,1
2,26,51,and,and,1,1,1
2,26,52,He,he,1,1,1
2,26,53,guides,guides,1,1,1
2,26,54,many,many,1,1,1
2,26,55,thereby;,thereby,1,1,1
2,26,56,but,but,1,1,1
2,26,57,He,he,1,1,1
2,26,58,misleads,misleads,1,1,1
2,26,59,thereby,thereby,1,1,1
2,26,60,only,only,1,1,1
2,26,61,the,the,1,1,1
2,26,62,evildoers.,evildoers,1,1,1
2,27,0,Those,those,1,1,1
2,27,1,who,who,1,1,1
2,27,2,violate,violate,1,1,1
2,27,3,God’s,gods,1,1,1
2,27,4,covenant,covenant,1,1,1
2,27,5,after,after,1,1,1
2,27,6,its,its,1,1,1
2,27,7,"confirmation,",confirmation,1,1,1
2,27,8,and,and,1,1,1
2,27,9,sever,sever,1,1,1
2,27,10,what,what,1,1,1
2,27,11,God,god,1,1,1
2,27,12,has,has,1,1,1
2,27,13,commanded,commanded,1,1,1
2,27,14,to,to,1,1,1
2,27,15,be,be,1,1,1
2,27,16,"joined,",joined,1,1,1
2,27,17,and,and,1,1,1
2,27,18,commit,commit,1,1,1
2,27,19,evil,evil,1,1,1
2,27,20,on,on,1,1,1
2,27,21,earth.,earth,1,1,1
2,27,22,These,these,1,1,1
2,27,23,are,are,1,1,1
2,27,24,the,the,1,1,1
2,27,25,losers.,losers,1,1,1
2,28,0,How,how,1,1,1
2,28,1,can,can,1,1,1
2,28,2,you,you,1,1,1
2,28,3,deny,deny,1,1,1
2,28,4,"God,",god,1,1,1
2,28,5,when,when,1,1,1
2,28,6,you,you,1,1,1
2,28,7,were,were,1,1,1
2,28,8,dead,dead,1,1,1
2,28,9,and,and,1,1,1
2,28,10,He,he,1,1,1
2,28,11,gave,gave,1,1,1
2,28,12,you,you,1,1,1
2,28,13,"life,",life,1,1,1
2,28,14,then,then,1,1,1
2,28,15,He,he,1,1,1
2,28,16,will,will,1,1,1
2,28,17,put,put,1,1,1
2,28,18,you,you,1,1,1
2,28,19,to,to,1,1,1
2,28,20,"death,",death,1,1,1
2,28,21,then,then,1,1,1
2,28,22,He,he,1,1,1
2,28,23,will,will,1,1,1
2,28,24,bring,bring,1,1,1
2,28,25,you,you,1,1,1
2,28,26,to,to,1,1,1
2,28,27,"life,",life,1,1,1
2,28,28,then,then,1,1,1
2,28,29,to,to,1,1,1
2,28,30,Him,him,1,1,1
2,28,31,you,you,1,1,1
2,28,32,will,will,1,1,1
2,28,33,be,be,1,1,1
2,28,34,returned?,returned,1,1,1
2,29,0,It,it,1,1,1
2,29,1,is,is,1,1,1
2,29,2,He,he,1,1,1
2,29,3,who,who,1,1,1
2,29,4,created,created,1,1,1
2,29,5,for,for,1,1,1
2,29,6,you,you,1,1,1
2,29,7,everything,everything,1,1,1
2,29,8,on,on,1,1,1
2,29,9,"earth,",earth,1,1,1
2,29,10,then,then,1,1,1
2,29,11,turned,turned,1,1,1
2,29,12,to,to,1,1,1
2,29,13,the,the,1,1,1
2,29,14,"heaven,",heaven,1,1,1
2,29,15,and,and,1,1,1
2,29,16,made,made,1,1,1
2,29,17,them,them,1,1,1
2,29,18,seven,seven,1,1,1
2,29,19,heavens.,heavens,1,1,1
2,29,20,And,and,1,1,1
2,29,21,He,he,1,1,1
2,29,22,is,is,1,1,1
2,29,23,aware,aware,1,1,1
2,29,24,of,of,1,1,1
2,29,25,all,all,1,1,1
