term_str,n,gloss
batters,1,
battle,4,
battlepositions,1,
be,974,
beacon,2,
bear,15,
beard,1,
bearer,7,
bearers,1,
bearing,2,
bears,10,
beasts,1,
beating,1,
beautified,2,
beautiful,13,
beauty,7,
became,48,
because,118,
become,70,
becomes,24,
bedouins,1,
beds,4,
bee,1,
been,79,
befall,7,
befallen,5,
befalls,9,
befell,4,
before,296,
beforewe,1,
befriend,6,
befriended,2,
befriending,2,
beg,1,
began,7,
begets,1,
beggar,3,
beggars,1,
begin,3,
beginning,1,
begins,1,
begone,2,
begotten,7,
begrudged,1,
beguiled,1,
behalf,4,
behave,5,
behaved,1,
behavior,3,
behind,59,
behinda,1,
behold,6,
beholder,2,
beholders,2,
being,94,
beings,4,
bekka,1,
belief,5,
believe,410,
believed,99,
believedexcept,1,
believer,13,
believers,157,
believersexcept,1,
believersfor,1,
believerthese,1,
believerthose,1,
believerwill,1,
believes,17,
believesurely,1,
believethat,1,
believethose,1,
believeyour,1,
believing,38,
belittle,1,
bellies,9,
belly,1,
belong,19,
belonged,7,
belonging,1,
belongings,4,
belongs,73,
beloved,1,
below,1,
bend,1,
beneath,51,
beneficiaries,1,
benefit,27,
benefited,1,
benefits,13,
benevolent,2,
bent,2,
bequest,5,
beside,2,
besides,76,
besiege,2,
besieged,5,
best,89,
bestow,5,
bestowed,11,
bestows,4,
betray,5,
betrayed,2,
betrayer,1,
betrayers,1,
better,97,
between,140,
beverage,1,
beware,16,
bewilder,1,
bewildered,1,
bewilderment,1,
bewitch,1,
bewitched,6,
beyond,28,
bias,2,
biased,3,
big,1,
bigger,1,
biggest,3,
bind,1,
binding,8,
bird,5,
birds,14,
birdsall,1,
birth,3,
bit,2,
bite,2,
bitter,5,
bitterness,4,
bizarre,1,
black,1,
blackened,3,
blades,1,
blame,31,
blamed,3,
blames,1,
blaming,2,
blaspheme,3,
blasphemed,3,
blasphemer,4,
blasphemers,5,
blasphemous,1,
blasphemy,5,
blast,6,
blatant,1,
blaze,16,
blazing,2,
blemish,2,
blemishamong,1,
blemishanother,1,
bless,2,
blessed,38,
blessedamong,1,
blesses,1,
blessing,15,
blessings,29,
blind,31,
blinded,2,
blindly,1,
blindness,2,
blindthey,1,
bliss,15,
block,1,
blocks,1,
blood,9,
bloodall,1,
bloodrelatives,1,
blow,2,
blowing,2,
blown,9,
blownwe,1,
blue,1,
blunder,3,
blundering,3,
board,1,
boarded,1,
boastfully,1,
boasting,1,
boat,4,
bodies,7,
body,5,
boiling,9,
boils,1,
bombarded,2,
bonded,1,
bone,1,
bones,14,
book,121,
books,3,
borders,3,
boredom,1,
born,2,
both,18,
bottom,3,
bought,2,
bound,2,
boundary,1,
bounds,4,
bounteous,3,
bounties,4,
bountiful,3,
bounty,28,
bow,19,
bowed,6,
bowels,1,
bowing,4,
bowls,1,
bows,2,
boy,6,
boys,2,
bracelets,5,
brains,1,
brainsall,1,
brainsbut,1,
branches,1,
brand,1,
branded,2,
brass,3,
brave,1,
breach,2,
bread,1,
break,8,
breaking,3,
breaks,10,
breastbones,2,
breastfeeding,1,
breasts,1,
breath,1,
breathe,1,
breathed,6,
breathes,1,
breed,1,
brethren,12,
brew,1,
bribes,1,
bricks,2,
brief,6,
briefly,1,
bright,1,
brilliant,1,
bring,123,
bringing,6,
brings,30,
brink,2,
broadcast,1,
brocade,3,
broke,4,
brother,44,
brothers,18,
brought,46,
broughta,1,
bucket,1,
build,10,
builder,1,
building,2,
buildings,1,
builds,1,
built,5,
bully,2,
bundle,1,
burden,21,
burdened,7,
burdens,8,
buried,1,
buries,1,
burn,6,
burning,6,
burns,1,
burst,3,
bursts,1,
bury,2,
bush,1,
business,6,
busy,1,
but,1075,
buy,1,
by,413,
calamity,10,
calculate,2,
calculation,3,
calf,9,
calfa,1,
call,95,
called,45,
caller,10,
calling,13,
calls,17,
came,133,
camel,2,
camelload,2,
camels,3,
camelshow,1,
camp,1,
can,145,
cannot,65,
canopies,1,
capable,20,
capacity,5,
capacitythese,1,
capital,1,
captive,3,
captives,1,
capture,5,
captured,1,
caravan,6,
care,11,
cared,1,
careful,3,
careless,1,
cares,1,
caressing,1,
caring,2,
carpets,2,
carried,12,
carrier,1,
carries,4,
carrion,4,
carry,18,
carrying,5,
carve,4,
carved,1,
case,15,
cast,9,
castles,1,
casts,1,
cataclysm,1,
catastrophe,1,
catch,5,
cattle,7,
caught,1,
cauldrons,1,
cause,54,
caused,12,
causes,10,
causing,3,
cautions,2,
cautious,5,
cavalry,2,
cave,14,
caved,2,
cease,4,
ceiling,1,
celebrate,5,
celebrated,1,
central,2,
certain,18,
certainly,21,
certainty,7,
cessation,1,
chain,1,
chains,4,
challenge,2,
chamber,1,
chambers,1,
chambersmost,1,
chance,3,
change,18,
changed,2,
changes,1,
changing,3,
chant,1,
chaos,1,
chapter,9,
chapters,1,
character,1,
charge,8,
charitable,16,
charities,3,
charity,37,
charitythey,1,
chase,1,
chasing,1,
chaste,4,
chastity,3,
cheap,4,
cheat,4,
cheated,1,
cherish,1,
chest,1,
chests,2,
chewedup,1,
chief,2,
chiefs,4,
child,10,
childbearing,1,
childglory,1,
children,111,
childrenthen,1,
childrenyou,1,
chins,3,
choice,4,
chokes,2,
choking,1,
choose,3,
chooses,5,
choosing,2,
chose,10,
chosen,14,
christ,2,
christian,2,
christians,12,
christianswhoever,1,
churches,1,
circle,3,
circulate,2,
circulated,1,
circulating,1,
circulation,1,
circumstances,1,
cite,5,
cited,5,
cites,6,
cities,10,
city,16,
civil,1,
civilizations,1,
claim,14,
claimed,3,
claims,2,
clan,4,
clappingso,1,
clarification,2,
clarifications,3,
clarified,1,
clarifies,4,
clarify,7,
clarifying,7,
clashed,1,
clashedit,1,
clasped,1,
class,1,
classes,2,
claws,1,
clay,16,
clean,3,
cleanse,1,
cleansed,1,
cleansing,1,
clear,131,
cleared,1,
clearing,1,
clearly,7,
cleave,1,
cleaves,1,
cleft,1,
clement,12,
cliff,1,
cliffs,1,
climb,1,
climbing,1,
cling,1,
clinging,1,
close,5,
closed,5,
closely,1,
closer,9,
closes,1,
clot,5,
clothe,3,
clothed,1,
clothes,3,
clothing,5,
cloud,2,
cloudburst,1,
clouds,15,
cloudsthe,1,
clung,1,
clustered,1,
clusters,3,
coats,1,
code,1,
coerce,1,
cognizant,11,
coin,1,
coinsthey,1,
cold,1,
collapse,2,
collapsed,1,
collect,1,
collection,1,
collectively,2,
color,2,
coloring,2,
colors,6,
columns,1,
combat,1,
combines,1,
combining,1,
come,220,
comes,55,
comfort,12,
comfortable,1,
comforted,3,
comforts,1,
coming,13,
comingbut,1,
comingthere,1,
command,63,
commanded,33,
commandments,1,
commands,9,
commemorate,1,
commended,1,
commerce,4,
commissioned,1,
commit,44,
commitment,1,
commitments,2,
commits,16,
committed,18,
committing,3,
common,3,
communicated,1,
communication,5,
communications,5,
communion,1,
communities,12,
community,32,
communitythey,1,
communitythose,1,
compact,1,
companion,5,
companions,6,
companionwhat,2,
company,7,
comparable,3,
compared,3,
comparison,2,
compassion,2,
compassionate,13,
compel,6,
compelled,7,
compensate,3,
compensated,1,
compensation,16,
compete,2,
competing,1,
competitors,1,
complacent,1,
complain,1,
complained,1,
complete,12,
completed,8,
completely,8,
completes,1,
complied,1,
complies,1,
compounded,1,
comprehend,2,
comprehended,1,
comprehending,1,
comprehends,7,
comprehensive,1,
compromise,2,
compromisers,1,
compromisersthey,1,
compulsion,2,
conceal,31,
concealed,4,
concealing,1,
conceals,4,
conceived,1,
conceives,3,
concern,1,
concerned,5,
concerning,17,
concerns,2,
concession,1,
conciliatory,1,
conclude,2,
concluded,5,
conclusions,1,
conclusive,2,
condemn,1,
condemnation,1,
condemned,4,
condemns,2,
condition,4,
conduct,19,
conductive,1,
confederates,7,
confer,1,
conferred,3,
confers,1,
confessed,1,
confidence,1,
confident,4,
confine,1,
confined,1,
confirm,4,
confirmation,4,
confirmed,1,
confirming,13,
confirms,2,
conflict,3,
conform,2,
conformed,1,
confound,2,
confounded,1,
confront,1,
confronted,1,
confuse,1,
confused,6,
confusion,4,
congregation,3,
conjecture,2,
conqueror,2,
conquest,3,
conscience,1,
conscious,19,
consecrated,1,
consecutive,3,
consent,2,
consequence,1,
consequences,9,
consider,17,
considered,40,
considering,1,
considers,1,
consign,2,
consist,1,
consistent,1,
consoled,1,
consort,1,
conspicuous,1,
conspiracies,3,
conspiracy,3,
conspire,6,
conspiring,1,
constant,2,
constantly,1,
constellations,3,
constricted,1,
constricts,1,
construct,1,
constructed,3,
consult,2,
consultation,2,
consume,11,
consumed,3,
consumer,1,
consumes,1,
consuming,3,
contact,2,
contain,8,
containing,3,
contains,2,
contempt,1,
content,8,
contented,1,
contents,4,
context,2,
continue,7,
continued,2,
continues,1,
continuous,2,
continuously,1,
contract,2,
contradicted,1,
contrary,1,
contribute,1,
contributed,2,
contributes,1,
contribution,2,
contributions,3,
contrived,2,
contriving,1,
control,9,
controllers,1,
controls,1,
conveniences,1,
converging,1,
conversation,4,
converse,4,
conversed,2,
convey,7,
conveyed,4,
conveys,1,
convinced,3,
convincing,1,
cooked,1,
cool,2,
coolness,2,
cooperate,2,
coral,1,
corals,1,
corpse,2,
correct,2,
correctlya,1,
corroded,1,
corrupt,7,
corrupter,1,
corrupters,2,
corruptingly,1,
corruption,19,
corrupts,1,
couch,1,
couches,2,
could,67,
counsel,3,
counselors,2,
counsels,1,
count,12,
countdown,1,
counted,1,
counter,1,
counterpart,1,
counterparts,2,
counting,1,
counts,1,
couple,2,
couples,1,
courage,2,
course,12,
courses,2,
covenant,21,
covenanted,2,
covenants,1,
cover,9,
covered,9,
covering,5,
coverings,2,
covers,4,
covet,1,
cowering,1,
cows,2,
crack,3,
cracks,3,
cradle,1,
craft,3,
crafted,2,
crawl,1,
crawling,1,
crazy,4,
create,23,
created,157,
creates,11,
creating,3,
creation,43,
creations,1,
creator,9,
creators,3,
creature,9,
creatures,11,
credit,4,
creed,2,
crescents,1,
crib,3,
cried,4,
crime,4,
crimes,2,
criminal,1,
criminals,5,
cripple,1,
criterion,6,
critic,1,
criticize,2,
crooked,1,
crookedness,1,
crookedthese,1,
crops,8,
cross,2,
crossed,1,
crowd,3,
crowds,1,
crucified,2,
crucify,4,
cruising,1,
crumble,2,
crumbled,1,
crumbling,1,
crush,2,
crushed,6,
crusher,2,
crushes,1,
cry,7,
crying,1,
crystal,2,
cubits,1,
cucumbers,1,
cultivate,1,
cultivated,2,
cultivation,2,
cunning,1,
cup,4,
cups,4,
cured,1,
current,1,
curse,21,
cursed,17,
cursers,1,
curses,2,
curtains,1,
cushions,2,
custodians,2,
custom,1,
cut,13,
cutoff,1,
cuts,1,
cutsup,1,
cycle,1,
dam,2,
damage,1,
damn,1,
damned,2,
dared,1,
dark,2,
darkens,2,
darkness,26,
darknessthese,1,
datepalms,5,
dates,3,
daughter,1,
daughters,22,
daughtersexalted,1,
david,16,
dawn,10,
day,463,
daybreak,3,
dayhe,1,
daylight,2,
days,31,
daysand,1,
daythey,1,
daytime,1,
dayupon,1,
daze,1,
dazed,2,
dazzled,2,
dead,43,
deadperhaps,1,
deaf,15,
deafening,1,
deafness,2,
deal,4,
dealing,2,
deals,1,
dealt,3,
dear,2,
dearer,1,
death,70,
deaths,1,
deathyour,1,
debate,1,
debris,4,
debt,4,
debtor,2,
debts,4,
decadence,1,
decadent,1,
decayed,2,
decays,1,
deceit,2,
deceitful,3,
deceive,9,
deceived,4,
deceiving,1,
decency,1,
decent,2,
deception,1,
deceptions,1,
decide,4,
decided,3,
deciders,2,
decides,3,
decision,19,
decisions,4,
decisive,4,
decisively,2,
declaration,2,
declarations,4,
declare,3,
declared,1,
declares,1,
decline,1,
declined,1,
decorated,3,
decorations,1,
decrease,1,
decree,19,
decreed,11,
decrees,2,
decrepit,1,
dedicate,3,
dedicated,7,
deed,12,
deeds,96,
deedsfor,3,
deedshave,1,
deedsthese,2,
deedsthey,1,
deedswe,1,
deep,3,
deeper,1,
deeply,2,
defeat,10,
defeated,12,
defect,1,
defend,5,
defender,4,
defends,1,
defense,1,
defer,4,
deferment,1,
deferred,5,
defers,2,
defiance,7,
defiant,6,
defiantly,2,
deficient,1,
defied,9,
defies,2,
defilement,1,
definitely,2,
definitive,1,
defraud,1,
defrauded,1,
defrauders,1,
defy,4,
degree,3,
degrees,4,
deify,1,
deity,2,
delay,6,
deliberate,2,
deliberately,2,
delicious,2,
delight,7,
delighted,3,
delightful,2,
delighting,1,
delights,4,
deliver,11,
deliverance,1,
delivered,27,
deliverers,1,
delivering,2,
delivers,5,
deluded,7,
deluge,1,
delusion,3,
delusions,2,
demand,5,
demeaning,5,
demise,1,
demolished,1,
demon,1,
demonsevery,1,
denial,8,
denied,35,
deniers,10,
denies,9,
denounce,3,
denounced,3,
deny,65,
denying,4,
depart,5,
departed,2,
dependents,1,
dependentsfor,1,
depends,1,
deplorable,2,
deplore,1,
deposit,1,
depository,1,
depressed,1,
deprive,1,
deprived,4,
derive,2,
descend,8,
descendants,16,
descended,3,
descends,7,
descent,1,
describe,6,
description,2,
desert,3,
desertarabs,9,
deserted,1,
desertion,1,
deserved,6,
deserving,4,
design,4,
designated,3,
designed,5,
designer,1,
desirable,1,
desire,37,
desireand,1,
desired,5,
desires,45,
desiresand,1,
desiring,5,
desist,7,
desistgod,1,
desolate,2,
despair,11,
despaired,7,
despairing,1,
despairs,3,
despicable,3,
despise,1,
despised,5,
despite,1,
destination,21,
destined,4,
destiny,6,
destitute,5,
destroy,20,
destroyed,33,
destroyedthat,1,
destroying,1,
destroys,3,
destruction,2,
detached,1,
detail,5,
detailed,5,
details,1,
detained,1,
determination,3,
determined,5,
deterrent,3,
deterring,2,
deters,1,
detest,2,
detriment,4,
devastate,1,
devastated,2,
devastating,1,
developed,6,
development,1,
deviate,5,
deviated,1,
deviation,3,
deviators,2,
devil,18,
devils,16,
devilsinspiring,1,
devise,1,
devised,3,
devoid,1,
devote,5,
devoted,13,
devotees,2,
devoting,6,
devotion,6,
devotions,2,
devour,1,
devout,9,
devoutly,1,
dew,1,
dictate,3,
dictated,1,
dictator,1,
did,263,
die,36,
died,12,
dieforgiveness,1,
dies,8,
dieyour,1,
differ,10,
differed,9,
differences,7,
different,4,
differently,2,
difficult,12,
difficulties,1,
difficulty,4,
difficultyafter,1,
digging,1,
dignified,2,
dignitaries,7,
dignity,2,
diminish,2,
diminishing,1,
dimmed,2,
dire,2,
direct,3,
directed,4,
directing,1,
direction,11,
directly,2,
directs,2,
disabledand,1,
disagree,3,
disagreed,2,
disappeared,1,
disappoint,1,
disappointed,5,
disappointment,1,
disapproval,2,
disaster,5,
disasters,1,
disastrous,1,
disbelief,26,
disbeliefby,1,
disbeliefthey,1,
disbeliefupon,1,
disbelieve,131,
disbelieved,67,
disbelievedbut,1,
disbelievedso,1,
disbelieveit,1,
disbeliever,2,
disbelievers,90,
disbelieversgod,1,
disbelieversnot,1,
disbelieverthose,1,
disbelieves,8,
disbelieveslet,1,
disbelieveso,1,
disbelieving,12,
discard,1,
disciples,5,
disciplined,1,
disclose,4,
disclosed,4,
discord,6,
discourse,4,
discover,1,
discovered,2,
discrepancy,2,
disdain,2,
disdains,1,
diseased,1,
disembark,1,
disfavor,1,
disgrace,18,
disgraced,3,
disgraceful,1,
disguise,1,
disgust,1,
dishearten,2,
dishonest,1,
dishonestly,3,
dishonesty,1,
dishonor,1,
dislike,12,
disliked,3,
disloyalty,1,
dismiss,2,
dismissed,1,
disobedience,2,
disobedient,4,
disobey,7,
disobeyed,10,
disobeys,3,
disorder,1,
disown,4,
disowned,3,
dispatch,1,
dispatched,1,
dispatches,1,
dispenses,1,
disperse,7,
dispersed,3,
display,2,
displayed,4,
displaying,1,
displeases,1,
disposal,1,
disposed,3,
disposition,2,
disputants,2,
dispute,14,
disputed,11,
disputes,4,
disputing,3,
disregard,4,
disregarded,6,
disrespect,1,
dissent,2,
dissimilar,2,
dissolution,1,
distance,3,
distances,3,
distant,8,
distinct,4,
distinction,5,
distinguish,3,
distinguished,6,
distinguishing,1,
distort,5,
distortion,1,
distract,1,
distracted,1,
distracting,1,
distraction,2,
distracts,2,
distress,1,
distressed,1,
distributing,1,
distribution,2,
disturbing,1,
disunity,1,
dived,1,
diver,1,
divergent,1,
diverse,9,
diversified,2,
diversify,1,
diversion,1,
diversity,1,
divert,8,
diverted,4,
diverting,1,
diverts,1,
divide,1,
divided,8,
divination,1,
division,2,
divisive,1,
divorce,7,
divorced,2,
divorcegod,1,
divorces,3,
divorcing,1,
do,1092,
documented,1,
doer,5,
doers,10,
does,159,
dog,5,
dogs,1,
doing,16,
doings,1,
domain,1,
domestic,2,
dominant,1,
domineering,1,
dominion,7,
donate,1,
done,45,
donedo,1,
donkey,2,
donkeys,2,
donkeysfor,1,
dont,2,
doomed,1,
door,5,
doors,6,
double,10,
doubled,4,
doubles,1,
doubt,47,
doubted,3,
doubter,1,
doubtexcept,1,
doubtful,2,
doubts,6,
down,223,
downcast,1,
downpour,1,
dowries,3,
dowry,3,
dowrya,1,
drag,2,
dragged,2,
dragging,1,
drains,1,
drank,1,
drape,1,
draw,7,
drawing,3,
drawn,5,
dread,5,
dreaded,1,
dreadful,4,
dreads,1,
dream,2,
dreams,4,
drenched,1,
dress,1,
dressed,1,
drew,1,
dried,2,
drink,37,
drinkers,2,
drinking,3,
drinkingcup,1,
drinkingon,1,
drinkingplace,2,
drinkit,1,
drinks,5,
drive,10,
driven,6,
driver,1,
drivers,1,
driving,1,
drop,8,
dropped,2,
drops,2,
drove,3,
droves,2,
drown,4,
drowned,18,
drowsiness,1,
drunk,2,
drunkbut,1,
drunkenness,1,
dry,4,
due,17,
dues,1,
dumb,5,
dumbthose,1,
dunes,1,
duration,2,
during,22,
dust,21,
duty,15,
dwell,12,
dweller,1,
dwellers,6,
dwelling,13,
dwellings,4,
each,52,
eager,2,
eagerly,1,
eagerness,1,
ear,3,
early,4,
earn,9,
earned,31,
earnestly,1,
earnings,2,
earns,4,
ears,15,
earth,361,
eartha,1,
earthall,1,
earthevery,1,
earthexcept,2,
eartheye,1,
earthgod,1,
earthhow,2,
earthit,1,
earththese,1,
earthwe,1,
earthworm,1,
ease,15,
eased,3,
east,6,
eastern,3,
easts,4,
easy,25,
eat,61,
eaten,4,
eaters,1,
eating,5,
eats,4,
eavesdrop,1,
echo,1,
eclipsed,1,
eden,6,
edge,1,
edges,1,
educated,1,
effective,1,
effects,2,
effort,2,
efforts,6,
effortsgod,1,
ego,1,
egos,1,
egypt,4,
egyptian,1,
eight,4,
eighth,1,
eighty,1,
either,11,
ejaculate,1,
ejaculated,1,
elaborate,1,
elaborated,2,
elaboration,1,
elbows,1,
elderlyalthough,1,
elders,1,
eldest,1,
elects,1,
elephant,1,
elevate,2,
elevated,4,
elevates,2,
elevations,2,
eleven,1,
eliasevery,1,
elijah,3,
eliminate,2,
eliminates,1,
elisha,1,
elite,5,
elliyyeen,1,
elliyyoon,1,
eloquent,1,
else,9,
eludes,1,
embark,3,
embarrass,2,
embellished,1,
ember,1,
emblems,1,
embraced,2,
embraces,1,
embracing,3,
embryo,1,
embryos,1,
emerge,8,
emerged,1,
emergence,1,
emerges,2,
emerging,2,
emigrants,3,
emigrate,6,
emigrated,8,
emigrates,1,
emigrating,3,
eminent,1,
emitted,1,
empire,1,
employee,1,
empower,1,
empowered,3,
empty,1,
emulate,1,
enable,1,
enabled,1,
encircled,1,
encloses,1,
encompassed,2,
encompasses,5,
encompassing,1,
encounter,13,
encountered,2,
encounterthese,1,
encourage,3,
end,17,
endeavor,1,
endeavored,1,
endeavors,2,
ended,3,
ending,1,
endowed,7,
endurance,2,
endure,16,
endured,2,
endures,1,
endurethe,1,
enduring,2,
enemies,21,
enemiesthe,1,
enemy,24,
enemyhuman,1,
engage,3,
engaged,1,
engagement,1,
engulf,2,
engulfed,2,
enjoin,1,
enjoined,8,
enjoy,13,
enjoyed,3,
enjoying,2,
enjoyment,18,
enjoyments,5,
enjoymentthen,1,
enjoythe,1,
enlightening,8,
enlightenments,1,
enmity,3,
enoch,2,
enormity,1,
enough,20,
enrages,3,
enraging,1,
enrich,3,
enriched,2,
enriches,2,
enrobed,1,
enshrouded,1,
enslaved,1,
enter,48,
entered,18,
entering,4,
enters,3,
entertainment,2,
entice,3,
enticed,2,
entire,3,
entitled,1,
entrails,1,
entrust,3,
entrusted,5,
entry,1,
entwined,1,
enumerate,2,
enumerated,3,
envelop,1,
enveloping,1,
envies,1,
envious,1,
envoy,1,
envoys,11,
envy,4,
enwrapped,1,
