chap_num,I,F,J,A,C,H,B,D,G,E
23,5.745154851182184e-38,1.701679975205611e-24,1.2055831579188391e-44,7.440208364961813e-14,2.643164559119844e-28,0.02208220265185005,1.287997635266914e-17,1.9867863813082935e-35,9.661301955225944e-31,2.789283034478331e-41
24,1.5884906910742618e-13,5.738210663577064e-10,1.189121182272307e-35,5.581485198768686e-16,3.056473559906397e-10,0.019533350182896054,1.8831208814629055e-25,2.000828768945299e-21,0.00027799352531506085,0.0044368833754548295
25,1.5090730786915259e-34,1.143285100223607e-12,1.4072612212530508e-40,2.301762341124489e-43,3.250171934268362e-29,1.00022652086039e-16,1.3834894010398657e-25,3.2937942026980374e-39,4.247850356295389e-19,0.026556197644668367
26,1.454049855999214e-40,3.6421216013322115e-12,5.985499602566105e-48,1.9490231528990062e-45,3.017683025577862e-11,2.0653804896400002e-26,4.4073295359235105e-25,1.875570105998783e-34,1.101684562619809e-11,0.021876769811225796
27,4.459046405953669e-40,1.0923194746095094e-18,6.0654422681227315e-34,1.3375470145645927e-28,4.4775363414492196e-11,2.087001628832888e-20,1.425360363742616e-25,1.598086594186305e-33,1.6346422139230052e-11,0.022468531960026687
28,3.6594216592418743e-34,0.018717088338243777,3.961411191104843e-33,4.144143954329148e-29,6.21431512944238e-19,6.478557829059408e-21,4.329722943487227e-17,0.00044773048038092674,5.005806343295009e-16,0.0037475407014139605
29,1.4536637041057354e-05,0.014869263009849105,4.276531895033653e-34,7.989814537643915e-38,1.5774710749642222e-23,1.634290589091541e-22,4.751346991736587e-18,7.689810484091657e-23,0.010621001954097748,5.1388666580845983e-26
30,1.4900052967083788e-05,0.014633494393004928,6.736815663707919e-42,8.189544106761645e-38,1.697371716241795e-29,1.6607719081200779e-22,9.013876339817874e-23,7.882055746187109e-23,0.010886527002950133,2.5263873355150125e-28
31,1.4900052967083788e-05,0.014633494393004928,6.736815663707919e-42,8.189544106761645e-38,1.697371716241795e-29,1.6607719081200779e-22,9.013876339817874e-23,7.88205574618711e-23,0.010886527002950131,2.5263873355150125e-28
32,4.373792456092344e-06,0.023465872645799957,2.2401389173013556e-23,4.20191535085034e-06,4.773038650591178e-16,2.7154702256968452e-17,2.645956304025453e-23,2.3139564916631118e-23,0.003195653719065597,5.428864840188514e-28
33,4.381803596171363e-20,0.024490022700031817,8.096028667941222e-25,1.5186034615084746e-07,1.7250116700316213e-17,9.813931962365636e-19,1.5911571972280703e-15,1.185657869592795e-27,5.723546993980671e-21,8.846446363200405e-23
34,4.804383903499811e-39,0.007676666556245185,7.527247441915427e-38,2.0113336967983329e-28,3.299332481674791e-18,1.5587153519041766e-24,0.019256454186349366,3.543227952387779e-28,1.8580112829124152e-35,2.862712877387475e-23
35,5.59851588149707e-40,1.2451792631834014e-11,7.167011589199928e-27,1.626968439405688e-28,2.6688310484452747e-18,2.9604014435718446e-25,0.027491101535712277,2.717564791443074e-36,6.358408118458083e-22,1.1323299965364e-22
36,1.9671008414703192e-44,2.0301799249061962e-13,1.6091969417260213e-26,2.714290435972789e-40,1.4126800094837723e-29,7.23940997914285e-26,0.02675153653309135,6.101702078889069e-36,1.4276425775405546e-21,2.5407732120575705e-22
37,1.1239589862110377e-41,4.104456601933858e-10,1.9296695413732926e-21,8.16922364229618e-41,5.613341215737186e-20,2.4570352424397876e-25,0.02302937267036194,7.312566584534092e-30,1.3559644110725486e-11,7.646988901353593e-23
38,5.992621877427662e-12,0.008948320511523812,6.908828128075849e-05,4.629462325425723e-17,3.3603172113600827e-10,0.009033749701940916,0.007112252082120423,2.025695307471571e-17,6.438778871865707e-12,2.78766020683749e-25
39,0.0005767033644991036,0.006163767588999283,5.837266304446497e-05,0.0002353616059434801,2.3147197474407043e-10,0.01681972260167842,2.380878140129672e-09,1.5631355042801837e-09,3.642779004563177e-18,0.00037418810281450486
40,0.0006670217197137686,0.0001309110770836902,1.247218606872754e-05,0.00884551545262857,0.0002939467676623454,0.012256738577264836,1.9281665215866564e-21,1.8079404327246814e-09,2.7686151488938703e-26,0.00043279025056326887
41,2.1790493518102442e-30,0.0003485065104251452,1.964583716745031e-32,0.02282349761480495,0.0007825339625385653,7.350413443764282e-27,1.6753095430916393e-30,2.2374140782560795e-32,2.987738127266455e-30,3.693792039073497e-27
42,0.00016741975593221605,0.0003187760972135214,1.800236112320791e-32,0.022838479980311344,0.0007157775107580242,2.736539835223528e-25,3.2011234167496985e-22,2.353101533300107e-30,2.73714401536679e-30,3.37869710352542e-27
43,0.001962531583427644,1.672917447714755e-33,3.8064575994217494e-34,0.022999124232685474,5.452183257297639e-36,3.1290200404761074e-24,3.752427987226883e-21,2.7343678575293794e-29,5.021825999816092e-32,1.791834821576545e-31
44,0.001962531583427644,1.672917447714755e-33,3.806457599421749e-34,0.022999124232685474,5.452183257297638e-36,3.1290200404761078e-24,3.752427987226883e-21,2.7343678575293794e-29,5.021825999816092e-32,1.7918348215765445e-31
45,0.002082083777272747,1.6506151291091203e-33,4.691114068617337e-06,0.022917053045359806,1.2617127615325815e-31,3.0872997732697593e-24,3.702395614117652e-21,8.533059650654387e-25,4.9997047844395e-32,1.767943690623324e-31
46,0.01092894612181034,2.43552292162868e-37,0.00035183355514630026,0.016843785183260265,9.462442249933321e-30,1.1059031049616301e-42,4.034531300393599e-30,6.399592394769335e-23,3.362734846571741e-32,8.49774334640641e-42
47,0.01385541473571633,2.0817918242697367e-17,0.0022314199614433742,0.011094718386679777,7.16276673503788e-26,1.9505403071784577e-26,5.655223554823968e-20,2.090540299271535e-23,1.5133113594457516e-22,7.132685284085018e-23
48,0.020111412959109645,1.0601972932870381e-16,3.780214954551105e-05,0.005517134908514423,3.647635835720517e-25,6.437307549338183e-26,2.880044313517636e-19,8.711770646440012e-26,3.701056041113997e-27,8.695399257269103e-25
49,0.020111412959109645,1.0601972932870381e-16,3.780214954551105e-05,0.005517134908514423,3.647635835720517e-25,6.437307549338183e-26,2.880044313517636e-19,8.711770646440012e-26,3.701056041113997e-27,8.695399257269103e-25
50,0.018374464388625573,2.3380776833444258e-17,8.33659571726099e-06,0.0012167065577712419,1.0870939242405934e-25,3.274998325443793e-23,3.4433044740779507e-18,3.313525527777838e-25,0.004377864820075605,6.433250184574114e-22
51,0.014887366692964997,3.1120239568538164e-05,3.823631595372661e-35,0.0006254071174365927,1.4451768596685236e-19,8.491839044506969e-14,0.0041551935072888955,1.0434702992994275e-08,0.003597692580836124,1.555398924006488e-21
52,0.022834316057955082,1.3588215203318452e-05,1.0129505592493417e-24,0.0002730752275443187,6.329645393292405e-20,3.7078421626587325e-14,0.0018143071196805064,4.556166399014781e-09,0.000522644804682484,0.0005330442267180662
53,0.022784731186104162,2.3816448191499923e-36,7.322534163248078e-24,9.085040147751312e-21,2.9758079176083436e-30,1.5459540479330328e-29,8.749194776091466e-45,7.439186887145986e-32,4.800564292246853e-14,0.0038533257181355023
54,0.022933639064994016,2.1378124083784305e-33,5.0630091930020925e-23,6.822350903408024e-21,6.153437679329243e-05,1.1617845904644062e-29,5.256749356227147e-28,6.114897435840314e-32,3.60495206233153e-14,0.0028936295015432644
55,0.02498884569324167,1.7625405771718558e-30,9.535645290915562e-23,2.9579977235671288e-31,0.00013001402746654406,2.0433983762925755e-32,1.1106818510263278e-27,1.1166279565756813e-32,1.8822319496846236e-22,6.639838269958705e-28
56,0.02618005280554971,1.8954558792694328e-29,2.8365765371903146e-17,3.412304150576376e-12,4.2585670458519197e-16,7.187258999497138e-08,4.6921096327702904e-33,1.4503921144794803e-23,4.0866727402324007e-19,6.151086030609873e-19
57,0.011464722069866533,9.50172971341132e-28,8.340732343544414e-12,3.9954894699061894e-26,3.0282423903249408e-34,0.00996981749491387,3.004478683633382e-05,0.0017244176993584427,4.225531102067982e-31,0.0008193308085452666
58,0.016623494394998696,7.947447373172327e-20,3.0807212966289036e-16,4.3257825709198635e-19,9.418044943094998e-24,0.0020225947276128744,0.005153602728762915,0.0001468267194471004,7.530854726181154e-22,0.00042545110682585277
59,0.0030178080760825243,1.5289213992359577e-20,5.92665857910878e-17,8.321894100798921e-20,1.8118333820008442e-24,0.00032282729285187744,0.02071312891995889,1.9347407914035652e-11,2.1323410797752827e-19,6.083194655551344e-05
60,0.0010773577272993394,3.812397701127897e-41,3.268279183481267e-28,6.879136746422662e-45,1.6466483605083355e-37,3.4183526529957426e-37,0.015966947356873578,0.0045160607015321845,4.432902410524233e-20,6.094914697148564e-45
61,0.00039691856058269524,2.320020452767335e-25,1.985098328545318e-23,1.4747134530070479e-40,1.9678582635331963e-29,2.4395739530005486e-29,0.004385677787552975,0.019154917474671396,2.976171911976257e-33,8.487227658899785e-47
62,0.0006255408422288571,2.073890993958356e-16,2.8263181644301843e-24,2.804709796022115e-28,2.2498478976543804e-28,1.1536928827406127e-22,1.4761186320387678e-11,0.02332267165961882,2.5927516610413114e-25,9.324710553879201e-26
63,0.009599996149474923,4.509075973476577e-21,1.3305322700373092e-05,1.777801386429652e-23,0.0010981081245054754,2.1643098245922412e-14,3.020371710953691e-10,0.014282816784531265,1.9926684148346498e-29,2.875689371360172e-20
64,0.02537398945206873,2.8758504654613724e-21,8.327049125908399e-06,1.1281535862899414e-12,0.000687243782374378,1.3557735738653959e-14,4.060407391263255e-10,0.0013764658135558272,2.7984147679321173e-26,1.799731371077278e-20
65,0.018908264033182985,3.150421530148978e-20,0.00811319645347984,1.3200786515937498e-13,1.04466121153183e-28,0.0006730486928047409,2.5393165006426567e-11,2.6856495997055863e-13,1.2558375314747992e-14,8.224411740816401e-27
66,0.018104031437262236,3.426461971261345e-20,0.008825842087907123,1.704351788742616e-38,3.273599237554852e-42,0.0007321678347402908,4.0231812159364446e-23,2.921551251607643e-13,1.3661475849147971e-14,8.94682628547728e-27
67,0.006486786916199116,1.2277225467002733e-20,0.016946625960354584,9.138500979490778e-38,1.3728273779590219e-33,0.0002623402665193224,1.441530728837163e-23,1.0468098947128362e-13,4.89499134660025e-15,3.2057032293241068e-27
68,1.8277227804166443e-10,7.298149239545772e-29,0.02278932305416195,4.024916956990146e-38,1.2175611470470139e-32,1.4002109189371825e-20,2.3428558447784774e-26,8.431003068097434e-17,3.559470037627507e-32,2.995938789320376e-35
69,2.168230544351994e-25,1.425427883094426e-33,0.02348705797727249,2.2572036891245475e-39,2.335943400877355e-46,1.532410127853288e-19,3.8370835751241824e-32,5.216593058041837e-31,3.8956422036499064e-31,3.27888856383643e-34
70,5.949783807131386e-17,3.7239525298987056e-09,0.023339623725049222,1.6618967166787608e-37,1.2922561543637055e-38,1.4546155290663184e-19,6.647667087501152e-25,2.1688796179951202e-28,7.594762695858651e-31,8.683603178326373e-22
71,1.1701241446884757e-15,7.323773308800787e-08,0.020587517683548252,3.226262407271238e-36,2.5414370599776775e-37,2.4496850428815517e-22,1.3073744555829998e-23,4.255725608348725e-27,7.664501188375521e-30,1.7077752917369078e-20
72,1.1701241446884757e-15,7.323773308800787e-08,0.020587517683548252,3.226262407271238e-36,2.5414370599776775e-37,2.4496850428815517e-22,1.307374455583e-23,4.255725608348725e-27,7.664501188375521e-30,1.7077752917369078e-20
73,1.1701241446884757e-15,7.323773308800787e-08,0.020587517683548252,3.226262407271238e-36,2.5414370599776775e-37,2.4496850428815517e-22,1.307374455583e-23,4.255725608348725e-27,7.664501188375521e-30,1.7077752917369078e-20
74,2.20864621748092e-10,4.9756933166661834e-08,0.02160923877316926,1.2837182480940038e-14,4.461486110877928e-25,1.0293730298701332e-18,8.882162331823435e-24,2.894337897710821e-27,1.876488946926112e-11,1.160244282172403e-20
75,6.288683148643789e-10,5.027546007412932e-11,0.02358999017618684,3.655146898507381e-14,2.7024462812512236e-05,3.8358328813632055e-13,3.0584109090248366e-06,8.443397731461423e-07,1.2014751197836422e-05,9.11417902248392e-18
76,3.1855266428791784e-13,4.043049838034292e-10,0.02086601554226037,5.370909560738866e-25,0.00021732521161614373,3.084674910260951e-12,2.4595116011157316e-05,6.790008043747459e-06,9.661974608421141e-05,7.329436660815545e-17
77,1.0640092392201857e-12,1.832917527858706e-42,0.01901127713030858,1.0772216423366377e-28,3.146738980010322e-33,3.7016032521875756e-34,2.1299442708389305e-45,2.870940028632796e-31,3.8456504195741975e-37,1.7562995595190664e-43
78,2.497066483834826e-13,1.3583764839291722e-35,0.022599206487475706,8.89991342205906e-10,1.498971238020129e-25,9.434507024345915e-26,1.0088390413163303e-32,1.3363746293174376e-29,1.0825941218494383e-11,0.0014007214228030343
79,0.0016104144256710038,4.6020590555729766e-36,0.024000755722259366,3.082365529326153e-10,4.138071583044476e-19,3.196327403238929e-26,3.417857319273674e-33,6.076018447620521e-21,3.667732985385453e-12,0.0004745520100343965
80,0.0016601457055502576,1.1867247735958533e-45,0.021883609662254506,6.387223488916507e-12,3.9358642568360054e-19,1.3479419290448354e-41,1.263912946305693e-41,5.7791138381891745e-21,6.02799491987001e-39,7.3262142577582e-50
81,0.00043343157770003686,2.478261141804753e-48,0.016590812170322686,1.5413207691196237e-22,1.3424055590342036e-56,6.88889670998485e-63,1.8488226701979065e-45,1.0074792259178943e-34,2.130930314498247e-57,1.9092926581174893e-65
82,0.0004334315777000368,2.4782611418047532e-48,0.016590812170322686,1.5413207691196237e-22,1.3424055590342036e-56,6.88889670998485e-63,1.8488226701979065e-45,1.0074792259178943e-34,2.1309303144982467e-57,1.9092926581174893e-65
83,0.00026315488658792285,1.3221642026988563e-28,0.016257044189537526,9.358034575696343e-23,3.880187422574285e-23,2.178171740047865e-35,2.0307623916723426e-42,8.618971999758791e-27,6.853989992404245e-31,5.696470355748068e-59
84,3.2374659691506864e-13,3.365508879597089e-28,0.015741220946505912,3.9760832868880236e-28,9.876840712007271e-23,5.544437156485475e-35,5.166356089221112e-42,2.1939201298230136e-26,1.744651998066535e-30,1.4500103409360976e-58
85,3.2374659691506864e-13,3.365508879597089e-28,0.015741220946505912,3.9760832868880236e-28,9.876840712007271e-23,5.544437156485475e-35,5.1663560892211114e-42,2.1939201298230136e-26,1.744651998066535e-30,1.4500103409360978e-58
86,3.2374659691506864e-13,3.365508879597089e-28,0.015741220946505912,3.976083286888024e-28,9.876840712007271e-23,5.544437156485475e-35,5.166356089221112e-42,2.1939201298230136e-26,1.744651998066535e-30,1.4500103409360976e-58
87,3.2374659691506864e-13,3.365508879597089e-28,0.015741220946505912,3.9760832868880236e-28,9.876840712007271e-23,5.544437156485475e-35,5.166356089221112e-42,2.1939201298230136e-26,1.744651998066535e-30,1.4500103409360978e-58
