chap_num,verse_num,token_num,token_str,term_str
2,10,19,their,their
2,10,20,denial.,denial
2,11,0,And,and
2,11,1,when,when
2,11,2,it,it
2,11,3,is,is
2,11,4,said,said
2,11,5,to,to
2,11,6,"them,",them
2,11,7,“Do,do
2,11,8,not,not
2,11,9,make,make
2,11,10,trouble,trouble
2,11,11,on,on
2,11,12,"earth,”",earth
2,11,13,they,they
2,11,14,"say,",say
2,11,15,“We,we
2,11,16,are,are
2,11,17,only,only
2,11,18,reformers.”,reformers
2,12,0,In,in
2,12,1,"fact,",fact
2,12,2,they,they
2,12,3,are,are
2,12,4,the,the
2,12,5,"troublemakers,",troublemakers
2,12,6,but,but
2,12,7,they,they
2,12,8,are,are
2,12,9,not,not
2,12,10,aware.,aware
2,13,0,And,and
2,13,1,when,when
2,13,2,it,it
2,13,3,is,is
2,13,4,said,said
2,13,5,to,to
2,13,6,"them,",them
2,13,7,“Believe,believe
2,13,8,as,as
2,13,9,the,the
2,13,10,people,people
2,13,11,have,have
2,13,12,"believed,”",believed
2,13,13,they,they
2,13,14,"say,",say
2,13,15,“Shall,shall
2,13,16,we,we
2,13,17,believe,believe
2,13,18,as,as
2,13,19,the,the
2,13,20,fools,fools
2,13,21,have,have
2,13,22,believed?”,believed
2,13,23,In,in
2,13,24,"fact,",fact
2,13,25,it,it
2,13,26,is,is
2,13,27,they,they
2,13,28,who,who
2,13,29,are,are
2,13,30,the,the
2,13,31,"fools,",fools
2,13,32,but,but
2,13,33,they,they
2,13,34,do,do
2,13,35,not,not
2,13,36,know.,know
2,14,0,And,and
2,14,1,when,when
2,14,2,they,they
2,14,3,come,come
2,14,4,across,across
2,14,5,those,those
2,14,6,who,who
2,14,7,"believe,",believe
2,14,8,they,they
2,14,9,"say,",say
2,14,10,“We,we
2,14,11,believe”;,believe
2,14,12,but,but
2,14,13,when,when
2,14,14,they,they
2,14,15,are,are
2,14,16,alone,alone
2,14,17,with,with
2,14,18,their,their
2,14,19,"devils,",devils
2,14,20,they,they
2,14,21,"say,",say
2,14,22,“We,we
2,14,23,are,are
2,14,24,with,with
2,14,25,you;,you
2,14,26,we,we
2,14,27,were,were
2,14,28,only,only
2,14,29,ridiculing.”,ridiculing
2,15,0,It,it
2,15,1,is,is
2,15,2,God,god
2,15,3,who,who
2,15,4,ridicules,ridicules
2,15,5,"them,",them
2,15,6,and,and
2,15,7,leaves,leaves
2,15,8,them,them
2,15,9,bewildered,bewildered
2,15,10,in,in
2,15,11,their,their
2,15,12,transgression.,transgression
2,16,0,Those,those
2,16,1,are,are
2,16,2,they,they
2,16,3,who,who
2,16,4,have,have
2,16,5,bartered,bartered
2,16,6,error,error
2,16,7,for,for
2,16,8,guidance;,guidance
2,16,9,but,but
2,16,10,their,their
2,16,11,trade,trade
2,16,12,does,does
2,16,13,not,not
2,16,14,profit,profit
2,16,15,"them,",them
2,16,16,and,and
2,16,17,they,they
2,16,18,are,are
2,16,19,not,not
2,16,20,guided.,guided
2,17,0,Their,their
2,17,1,likeness,likeness
2,17,2,is,is
2,17,3,that,that
2,17,4,of,of
2,17,5,a,a
2,17,6,person,person
2,17,7,who,who
2,17,8,kindled,kindled
2,17,9,a,a
2,17,10,fire;,fire
2,17,11,when,when
2,17,12,it,it
2,17,13,illuminated,illuminated
2,17,14,all,all
2,17,15,around,around
2,17,16,"him,",him
2,17,17,God,god
2,17,18,took,took
2,17,19,away,away
2,17,20,their,their
2,17,21,"light,",light
2,17,22,and,and
2,17,23,left,left
2,17,24,them,them
2,17,25,in,in
2,17,26,"darkness,",darkness
2,17,27,unable,unable
2,17,28,to,to
2,17,29,see.,see
2,18,0,"Deaf,",deaf
2,18,1,"dumb,",dumb
2,18,2,blind.,blind
2,18,3,They,they
2,18,4,will,will
2,18,5,not,not
2,18,6,return.,return
2,19,0,Or,or
2,19,1,like,like
2,19,2,a,a
2,19,3,cloudburst,cloudburst
2,19,4,from,from
2,19,5,the,the
2,19,6,"sky,",sky
2,19,7,in,in
2,19,8,which,which
2,19,9,is,is
2,19,10,"darkness,",darkness
2,19,11,and,and
2,19,12,"thunder,",thunder
2,19,13,and,and
2,19,14,lightning.,lightning
2,19,15,They,they
2,19,16,press,press
2,19,17,their,their
2,19,18,fingers,fingers
2,19,19,into,into
2,19,20,their,their
2,19,21,ears,ears
2,19,22,from,from
2,19,23,the,the
2,19,24,"thunderbolts,",thunderbolts
2,19,25,in,in
2,19,26,fear,fear
2,19,27,of,of
2,19,28,death.,death
2,19,29,But,but
2,19,30,God,god
2,19,31,surrounds,surrounds
2,19,32,the,the
2,19,33,disbelievers.,disbelievers
2,20,0,The,the
2,20,1,lightning,lightning
2,20,2,almost,almost
2,20,3,snatches,snatches
2,20,4,their,their
2,20,5,sight,sight
2,20,6,away.,away
2,20,7,Whenever,whenever
2,20,8,it,it
2,20,9,illuminates,illuminates
2,20,10,for,for
2,20,11,"them,",them
2,20,12,they,they
2,20,13,walk,walk
2,20,14,in,in
2,20,15,it;,it
2,20,16,but,but
2,20,17,when,when
2,20,18,it,it
2,20,19,grows,grows
2,20,20,dark,dark
2,20,21,over,over
2,20,22,"them,",them
2,20,23,they,they
2,20,24,stand,stand
2,20,25,still.,still
2,20,26,Had,had
2,20,27,God,god
2,20,28,"willed,",willed
2,20,29,He,he
2,20,30,could,could
2,20,31,have,have
2,20,32,taken,taken
2,20,33,away,away
2,20,34,their,their
2,20,35,hearing,hearing
2,20,36,and,and
2,20,37,their,their
2,20,38,sight.,sight
2,20,39,God,god
2,20,40,is,is
2,20,41,capable,capable
2,20,42,of,of
2,20,43,everything.,everything
2,21,0,O,o
2,21,1,people!,people
2,21,2,Worship,worship
2,21,3,your,your
2,21,4,Lord,lord
2,21,5,who,who
2,21,6,created,created
2,21,7,you,you
2,21,8,and,and
2,21,9,those,those
2,21,10,before,before
2,21,11,"you,",you
2,21,12,that,that
2,21,13,you,you
2,21,14,may,may
2,21,15,attain,attain
2,21,16,piety.,piety
2,22,0,He,he
2,22,1,who,who
2,22,2,made,made
2,22,3,the,the
2,22,4,earth,earth
2,22,5,a,a
2,22,6,habitat,habitat
2,22,7,for,for
2,22,8,"you,",you
2,22,9,and,and
2,22,10,the,the
2,22,11,sky,sky
2,22,12,a,a
2,22,13,"structure,",structure
2,22,14,and,and
2,22,15,sends,sends
2,22,16,water,water
2,22,17,down,down
2,22,18,from,from
2,22,19,the,the
2,22,20,"sky,",sky
2,22,21,and,and
2,22,22,brings,brings
2,22,23,out,out
2,22,24,fruits,fruits
2,22,25,"thereby,",thereby
2,22,26,as,as
2,22,27,a,a
2,22,28,sustenance,sustenance
2,22,29,for,for
2,22,30,you.,you
2,22,31,"Therefore,",therefore
2,22,32,do,do
2,22,33,not,not
2,22,34,assign,assign
2,22,35,rivals,rivals
2,22,36,to,to
2,22,37,God,god
2,22,38,while,while
2,22,39,you,you
2,22,40,know.,know
2,23,0,And,and
2,23,1,if,if
2,23,2,you,you
2,23,3,are,are
2,23,4,in,in
2,23,5,doubt,doubt
2,23,6,about,about
2,23,7,what,what
2,23,8,We,we
2,23,9,have,have
2,23,10,revealed,revealed
2,23,11,to,to
2,23,12,Our,our
2,23,13,"servant,",servant
2,23,14,then,then
2,23,15,produce,produce
2,23,16,a,a
2,23,17,chapter,chapter
2,23,18,like,like
2,23,19,"these,",these
2,23,20,and,and
2,23,21,call,call
2,23,22,your,your
2,23,23,witnesses,witnesses
2,23,24,apart,apart
2,23,25,from,from
2,23,26,"God,",god
2,23,27,if,if
2,23,28,you,you
2,23,29,are,are
2,23,30,truthful.,truthful
2,24,0,But,but
2,24,1,if,if
2,24,2,you,you
2,24,3,do,do
2,24,4,not—and,notand
2,24,5,you,you
2,24,6,will,will
2,24,7,not—then,notthen
2,24,8,beware,beware
2,24,9,the,the
2,24,10,Fire,fire
2,24,11,whose,whose
2,24,12,fuel,fuel
2,24,13,is,is
2,24,14,people,people
2,24,15,and,and
2,24,16,"stones,",stones
2,24,17,prepared,prepared
2,24,18,for,for
2,24,19,the,the
2,24,20,disbelievers.,disbelievers
2,25,0,And,and
2,25,1,give,give
2,25,2,good,good
2,25,3,news,news
2,25,4,to,to
2,25,5,those,those
2,25,6,who,who
2,25,7,believe,believe
2,25,8,and,and
2,25,9,do,do
2,25,10,righteous,righteous
2,25,11,deeds;,deeds
2,25,12,that,that
2,25,13,they,they
2,25,14,will,will
2,25,15,have,have
2,25,16,gardens,gardens
2,25,17,beneath,beneath
2,25,18,which,which
2,25,19,rivers,rivers
2,25,20,flow.,flow
2,25,21,Whenever,whenever
2,25,22,they,they
2,25,23,are,are
2,25,24,provided,provided
2,25,25,with,with
2,25,26,fruit,fruit
2,25,27,therefrom,therefrom
2,25,28,as,as
2,25,29,"sustenance,",sustenance
2,25,30,they,they
2,25,31,will,will
2,25,32,"say,",say
2,25,33,“This,this
2,25,34,is,is
2,25,35,what,what
2,25,36,we,we
2,25,37,were,were
2,25,38,provided,provided
2,25,39,with,with
2,25,40,"before,”",before
2,25,41,and,and
2,25,42,they,they
2,25,43,will,will
2,25,44,be,be
2,25,45,given,given
2,25,46,the,the
2,25,47,like,like
2,25,48,of,of
2,25,49,it.,it
2,25,50,And,and
2,25,51,they,they
2,25,52,will,will
2,25,53,have,have
2,25,54,pure,pure
2,25,55,spouses,spouses
2,25,56,"therein,",therein
2,25,57,and,and
2,25,58,they,they
2,25,59,will,will
2,25,60,abide,abide
2,25,61,therein,therein
2,25,62,forever.,forever
2,26,0,God,god
2,26,1,does,does
2,26,2,not,not
2,26,3,shy,shy
2,26,4,away,away
2,26,5,from,from
2,26,6,making,making
2,26,7,an,an
2,26,8,example,example
2,26,9,of,of
2,26,10,a,a
2,26,11,"gnat,",gnat
2,26,12,or,or
2,26,13,something,something
2,26,14,above,above
2,26,15,it.,it
2,26,16,As,as
2,26,17,for,for
2,26,18,those,those
2,26,19,who,who
2,26,20,"believe,",believe
2,26,21,they,they
2,26,22,know,know
2,26,23,that,that
2,26,24,it,it
2,26,25,is,is
2,26,26,the,the
2,26,27,Truth,truth
2,26,28,from,from
2,26,29,their,their
2,26,30,Lord.,lord
2,26,31,But,but
2,26,32,as,as
2,26,33,for,for
2,26,34,those,those
2,26,35,who,who
2,26,36,"disbelieve,",disbelieve
2,26,37,they,they
2,26,38,"say,",say
2,26,39,“What,what
2,26,40,did,did
2,26,41,God,god
2,26,42,intend,intend
2,26,43,by,by
2,26,44,this,this
2,26,45,example?”,example
2,26,46,He,he
2,26,47,leads,leads
2,26,48,astray,astray
2,26,49,many,many
2,26,50,"thereby,",thereby
2,26,51,and,and
2,26,52,He,he
2,26,53,guides,guides
2,26,54,many,many
2,26,55,thereby;,thereby
2,26,56,but,but
2,26,57,He,he
2,26,58,misleads,misleads
2,26,59,thereby,thereby
2,26,60,only,only
2,26,61,the,the
2,26,62,evildoers.,evildoers
2,27,0,Those,those
2,27,1,who,who
2,27,2,violate,violate
2,27,3,God’s,gods
2,27,4,covenant,covenant
2,27,5,after,after
2,27,6,its,its
2,27,7,"confirmation,",confirmation
2,27,8,and,and
2,27,9,sever,sever
2,27,10,what,what
2,27,11,God,god
2,27,12,has,has
2,27,13,commanded,commanded
2,27,14,to,to
2,27,15,be,be
2,27,16,"joined,",joined
2,27,17,and,and
2,27,18,commit,commit
2,27,19,evil,evil
2,27,20,on,on
2,27,21,earth.,earth
2,27,22,These,these
2,27,23,are,are
2,27,24,the,the
2,27,25,losers.,losers
2,28,0,How,how
2,28,1,can,can
2,28,2,you,you
2,28,3,deny,deny
2,28,4,"God,",god
2,28,5,when,when
2,28,6,you,you
2,28,7,were,were
2,28,8,dead,dead
2,28,9,and,and
2,28,10,He,he
2,28,11,gave,gave
2,28,12,you,you
2,28,13,"life,",life
2,28,14,then,then
2,28,15,He,he
2,28,16,will,will
2,28,17,put,put
2,28,18,you,you
2,28,19,to,to
2,28,20,"death,",death
2,28,21,then,then
2,28,22,He,he
2,28,23,will,will
2,28,24,bring,bring
2,28,25,you,you
2,28,26,to,to
2,28,27,"life,",life
2,28,28,then,then
2,28,29,to,to
2,28,30,Him,him
2,28,31,you,you
2,28,32,will,will
2,28,33,be,be
2,28,34,returned?,returned
2,29,0,It,it
2,29,1,is,is
2,29,2,He,he
2,29,3,who,who
2,29,4,created,created
2,29,5,for,for
2,29,6,you,you
2,29,7,everything,everything
2,29,8,on,on
2,29,9,"earth,",earth
2,29,10,then,then
2,29,11,turned,turned
2,29,12,to,to
2,29,13,the,the
2,29,14,"heaven,",heaven
2,29,15,and,and
2,29,16,made,made
2,29,17,them,them
2,29,18,seven,seven
2,29,19,heavens.,heavens
2,29,20,And,and
2,29,21,He,he
2,29,22,is,is
2,29,23,aware,aware
2,29,24,of,of
2,29,25,all,all
2,29,26,things.,things
2,30,0,When,when
2,30,1,your,your
2,30,2,Lord,lord
2,30,3,said,said
2,30,4,to,to
2,30,5,the,the
2,30,6,"angels,",angels
2,30,7,“I,i
2,30,8,am,am
2,30,9,placing,placing
2,30,10,a,a
2,30,11,successor,successor
2,30,12,on,on
2,30,13,earth.”,earth
2,30,14,They,they
2,30,15,"said,",said
2,30,16,“Will,will
2,30,17,You,you
2,30,18,place,place
2,30,19,in,in
2,30,20,it,it
2,30,21,someone,someone
2,30,22,who,who
2,30,23,will,will
2,30,24,cause,cause
2,30,25,corruption,corruption
2,30,26,in,in
2,30,27,it,it
2,30,28,and,and
2,30,29,shed,shed
2,30,30,"blood,",blood
2,30,31,while,while
2,30,32,we,we
2,30,33,declare,declare
2,30,34,Your,your
2,30,35,praises,praises
2,30,36,and,and
2,30,37,sanctify,sanctify
2,30,38,You?”,you
2,30,39,He,he
2,30,40,"said,",said
2,30,41,“I,i
2,30,42,know,know
2,30,43,what,what
2,30,44,you,you
2,30,45,do,do
2,30,46,not,not
2,30,47,know.”,know
2,31,0,And,and
2,31,1,He,he
2,31,2,taught,taught
2,31,3,Adam,adam
2,31,4,the,the
2,31,5,"names,",names
2,31,6,all,all
2,31,7,of,of
2,31,8,them;,them
2,31,9,then,then
2,31,10,he,he
2,31,11,presented,presented
2,31,12,them,them
2,31,13,to,to
2,31,14,the,the
2,31,15,"angels,",angels
2,31,16,and,and
2,31,17,"said,",said
2,31,18,“Tell,tell
2,31,19,Me,me
2,31,20,the,the
2,31,21,names,names
2,31,22,of,of
2,31,23,"these,",these
2,31,24,if,if
2,31,25,you,you
2,31,26,are,are
2,31,27,sincere.”,sincere
2,32,0,They,they
2,32,1,"said,",said
2,32,2,“Glory,glory
2,32,3,be,be
2,32,4,to,to
2,32,5,You!,you
2,32,6,We,we
2,32,7,have,have
2,32,8,no,no
2,32,9,knowledge,knowledge
2,32,10,except,except
2,32,11,what,what
2,32,12,You,you
2,32,13,have,have
2,32,14,taught,taught
2,32,15,us.,us
2,32,16,It,it
2,32,17,is,is
2,32,18,you,you
2,32,19,who,who
2,32,20,are,are
2,32,21,the,the
2,32,22,"Knowledgeable,",knowledgeable
2,32,23,the,the
2,32,24,Wise.”,wise
2,33,0,He,he
2,33,1,"said,",said
2,33,2,“O,o
2,33,3,"Adam,",adam
2,33,4,tell,tell
2,33,5,them,them
2,33,6,their,their
2,33,7,names.”,names
2,33,8,And,and
2,33,9,when,when
2,33,10,he,he
2,33,11,told,told
2,33,12,them,them
2,33,13,their,their
2,33,14,"names,",names
2,33,15,He,he
2,33,16,"said,",said
2,33,17,“Did,did
2,33,18,I,i
2,33,19,not,not
2,33,20,tell,tell
2,33,21,you,you
2,33,22,that,that
2,33,23,I,i
2,33,24,know,know
2,33,25,the,the
2,33,26,secrets,secrets
2,33,27,of,of
2,33,28,the,the
2,33,29,heavens,heavens
2,33,30,and,and
2,33,31,the,the
2,33,32,"earth,",earth
2,33,33,and,and
2,33,34,that,that
2,33,35,I,i
2,33,36,know,know
2,33,37,what,what
2,33,38,you,you
2,33,39,reveal,reveal
2,33,40,and,and
2,33,41,what,what
2,33,42,you,you
2,33,43,conceal?”,conceal
2,34,0,And,and
2,34,1,We,we
2,34,2,said,said
2,34,3,to,to
2,34,4,the,the
2,34,5,"angels,",angels
2,34,6,“Bow,bow
2,34,7,down,down
2,34,8,to,to
2,34,9,Adam.”,adam
2,34,10,They,they
2,34,11,bowed,bowed
2,34,12,"down,",down
2,34,13,except,except
2,34,14,for,for
2,34,15,Satan.,satan
2,34,16,He,he
2,34,17,"refused,",refused
2,34,18,was,was
2,34,19,"arrogant,",arrogant
2,34,20,and,and
2,34,21,was,was
2,34,22,one,one
2,34,23,of,of
2,34,24,the,the
2,34,25,disbelievers.,disbelievers
2,35,0,We,we
2,35,1,"said,",said
2,35,2,“O,o
2,35,3,"Adam,",adam
2,35,4,inhabit,inhabit
2,35,5,the,the
2,35,6,"Garden,",garden
2,35,7,you,you
2,35,8,and,and
2,35,9,your,your
2,35,10,"spouse,",spouse
2,35,11,and,and
2,35,12,eat,eat
2,35,13,from,from
2,35,14,it,it
2,35,15,freely,freely
2,35,16,as,as
2,35,17,you,you
2,35,18,"please,",please
2,35,19,but,but
2,35,20,do,do
2,35,21,not,not
2,35,22,approach,approach
2,35,23,this,this
2,35,24,"tree,",tree
2,35,25,lest,lest
2,35,26,you,you
2,35,27,become,become
2,35,28,wrongdoers.”,wrongdoers
2,36,0,But,but
2,36,1,Satan,satan
2,36,2,caused,caused
2,36,3,them,them
2,36,4,to,to
2,36,5,slip,slip
2,36,6,from,from
2,36,7,"it,",it
2,36,8,and,and
2,36,9,caused,caused
2,36,10,them,them
2,36,11,to,to
2,36,12,depart,depart
2,36,13,the,the
2,36,14,state,state
2,36,15,they,they
2,36,16,were,were
2,36,17,in.,in
2,36,18,We,we
2,36,19,"said,",said
2,36,20,“Go,go
2,36,21,"down,",down
2,36,22,some,some
2,36,23,of,of
2,36,24,you,you
2,36,25,enemies,enemies
2,36,26,of,of
2,36,27,one,one
2,36,28,another.,another
2,36,29,And,and
2,36,30,you,you
2,36,31,will,will
2,36,32,have,have
2,36,33,residence,residence
2,36,34,on,on
2,36,35,"earth,",earth
2,36,36,and,and
2,36,37,enjoyment,enjoyment
2,36,38,for,for
2,36,39,a,a
2,36,40,while.”,while
2,37,0,Then,then
2,37,1,Adam,adam
2,37,2,received,received
2,37,3,words,words
2,37,4,from,from
2,37,5,his,his
2,37,6,"Lord,",lord
2,37,7,so,so
2,37,8,He,he
2,37,9,relented,relented
2,37,10,towards,towards
2,37,11,him.,him
2,37,12,He,he
2,37,13,is,is
2,37,14,the,the
2,37,15,"Relenting,",relenting
2,37,16,the,the
2,37,17,Merciful.,merciful
2,38,0,We,we
2,38,1,"said,",said
2,38,2,“Go,go
2,38,3,down,down
2,38,4,from,from
2,38,5,"it,",it
2,38,6,all,all
2,38,7,of,of
2,38,8,you.,you
2,38,9,Yet,yet
2,38,10,whenever,whenever
2,38,11,guidance,guidance
2,38,12,comes,comes
2,38,13,to,to
2,38,14,you,you
2,38,15,from,from
2,38,16,"Me,",me
2,38,17,then,then
2,38,18,whoever,whoever
2,38,19,follows,follows
2,38,20,My,my
2,38,21,guidance—they,guidancethey
2,38,22,have,have
2,38,23,nothing,nothing
2,38,24,to,to
2,38,25,"fear,",fear
2,38,26,nor,nor
2,38,27,shall,shall
2,38,28,they,they
2,38,29,grieve.,grieve
2,39,0,But,but
2,39,1,as,as
2,39,2,for,for
2,39,3,those,those
2,39,4,who,who
2,39,5,disbelieve,disbelieve
2,39,6,and,and
2,39,7,reject,reject
2,39,8,Our,our
2,39,9,signs—these,signsthese
2,39,10,are,are
2,39,11,the,the
2,39,12,inmates,inmates
2,39,13,of,of
2,39,14,the,the
2,39,15,Fire—wherein,firewherein
2,39,16,they,they
2,39,17,will,will
2,39,18,remain,remain
2,39,19,forever.”,forever
2,40,0,O,o
2,40,1,Children,children
2,40,2,of,of
2,40,3,Israel!,israel
2,40,4,Remember,remember
2,40,5,My,my
2,40,6,blessings,blessings
2,40,7,which,which
2,40,8,I,i
2,40,9,bestowed,bestowed
2,40,10,upon,upon
2,40,11,"you,",you
2,40,12,and,and
2,40,13,fulfill,fulfill
2,40,14,your,your
2,40,15,pledge,pledge
2,40,16,to,to
2,40,17,"Me,",me
2,40,18,and,and
2,40,19,I,i
2,40,20,will,will
2,40,21,fulfill,fulfill
2,40,22,My,my
2,40,23,pledge,pledge
2,40,24,to,to
2,40,25,"you,",you
2,40,26,and,and
2,40,27,fear,fear
2,40,28,Me.,me
2,41,0,And,and
2,41,1,believe,believe
2,41,2,in,in
2,41,3,what,what
2,41,4,I,i
2,41,5,"revealed,",revealed
2,41,6,confirming,confirming
2,41,7,what,what
2,41,8,is,is
2,41,9,with,with
2,41,10,you;,you
2,41,11,and,and
2,41,12,do,do
2,41,13,not,not
2,41,14,be,be
2,41,15,the,the
2,41,16,first,first
2,41,17,to,to
2,41,18,deny,deny
2,41,19,it;,it
2,41,20,and,and
2,41,21,do,do
2,41,22,not,not
2,41,23,exchange,exchange
2,41,24,My,my
2,41,25,revelations,revelations
2,41,26,for,for
2,41,27,a,a
2,41,28,small,small
2,41,29,price;,price
2,41,30,and,and
2,41,31,be,be
2,41,32,conscious,conscious
2,41,33,of,of
2,41,34,Me.,me
2,42,0,And,and
2,42,1,do,do
2,42,2,not,not
2,42,3,mix,mix
2,42,4,truth,truth
2,42,5,with,with
2,42,6,"falsehood,",falsehood
2,42,7,and,and
2,42,8,do,do
2,42,9,not,not
2,42,10,conceal,conceal
2,42,11,the,the
2,42,12,truth,truth
2,42,13,while,while
2,42,14,you,you
2,42,15,know.,know
2,43,0,And,and
2,43,1,attend,attend
2,43,2,to,to
2,43,3,your,your
2,43,4,"prayers,",prayers
2,43,5,and,and
2,43,6,practice,practice
2,43,7,regular,regular
2,43,8,"charity,",charity
2,43,9,and,and
2,43,10,kneel,kneel
2,43,11,with,with
2,43,12,those,those
2,43,13,who,who
2,43,14,kneel.,kneel
2,44,0,Do,do
2,44,1,you,you
2,44,2,command,command
2,44,3,people,people
2,44,4,to,to
2,44,5,virtuous,virtuous
2,44,6,"conduct,",conduct
2,44,7,and,and
2,44,8,forget,forget
2,44,9,"yourselves,",yourselves
2,44,10,even,even
2,44,11,though,though
2,44,12,you,you
2,44,13,read,read
2,44,14,the,the
2,44,15,Scripture?,scripture
2,44,16,Do,do
2,44,17,you,you
2,44,18,not,not
2,44,19,understand?,understand
2,45,0,And,and
2,45,1,seek,seek
2,45,2,help,help
2,45,3,through,through
2,45,4,patience,patience
2,45,5,and,and
2,45,6,prayer.,prayer
2,45,7,But,but
