ana_id|quc|spa|diff
IKAJ|7|7|0
ILOKAB'|21|21|0
IQ'I_B'ALAM|41|47|-6
ISTAYUL_KQCUATRO|5|4|1
ISTAYUL_KQOCHO|1|1|0
ISTAYUL_KQSEIS|2|2|0
ISTAYUL_NJSIETE|1|1|0
IXB'ALAMQ'E|2|0|2
IXB'AQIYALO|6|4|2
IXBAQ'IYALO|0|1|-1
IXIM|9|10|-1
IXKAKAW|1|1|0
IXKIK'|59|53|6
IXMUKANE|115|105|10
IXOQ_AJAWAB'|24|17|7
IXPUCH'|7|6|1
IXQ'ANIL|1|1|0
IXTAJ|7|6|1
IXTAJ_IXPUCH|1|0|1
IXTAJ_IXPUCH'|24|25|-1
IXTOJ|1|1|0
IXTZIYA'|1|1|0
JA'_SIMAJ|1|1|0
JAL|13|10|3
JAQAWITZ|31|29|2
JAQAWITZ_JUYUB'|21|20|1
JA_CHI_Q'AQ''|1|1|0
JOJ|1|1|0
JOLOM|1|1|0
JOLOM_OKOX|1|1|0
JOLOM_TUKUR|2|1|1
JOM|16|14|2
JULISNAB'|1|1|0
JUMETA_JA|1|1|0
JUNAJPU|87|75|12
JUNAJPU_JUYUB'|1|1|0
JUNAJPU_K'OY|2|2|0
JUNAJPU_UTIW|3|4|-1
JUNAJPU_WUCH'|3|4|-1
JUN_B'ATZ|27|26|1
JUN_B'ATZ'_JUN_CHOWEN|11|14|-3
JUN_BATZ'_JUN_CHOWEN|1|0|1
JUN_CHOWEN|27|26|1
JUN_JUNAJPU|66|59|7
JUN_KAME'|45|43|2
JUN_KAME'_WUQUB'_KAME|8|6|2
JUN_KAME'_WUQUB'_KAME'|6|1|5
JUN_RAQAN|17|14|3
JUN_TOJ|1|1|0
JUN_WINAQ|6|5|1
JURAQAN_TUKUR|2|2|0
K'AJB'A_JA|1|1|0
K'AJOLOM|19|10|9
K'ANTI'|4|4|0
K'AWEX|1|1|0
K'AYALA'|2|2|0
K'EL|1|1|0
K'ELETZU|1|1|0
K'ENECH_AJAW|1|1|0
K'IKAB|1|0|1
K'IKAB'_KQDIEZ|1|1|0
K'IKAB'_KQSIETE|12|13|-1
K'IM|1|1|0
K'O'AJAW|1|1|0
K'O'AJAW_AKDOS|3|3|0
K'O'AKUL|1|1|0
K'O'AKUL_NJDOS|1|1|0
K'O'AKUTEK|1|0|1
K'O'AKUTEK_NJDOS|3|3|0
K'OCHAJUJ_NJTRES|1|1|0
K'OJAJ|1|1|0
K'OKA'IB|1|0|1
K'OKA'IB_KQDOS|4|5|-1
K'OKAMEL_AKSIETE|1|1|0
K'OKOSOM_AKCUATRO|1|1|0
K'OOL|3|2|1
K'OQAWIB_KQDOS|3|3|0
K'OTAL|6|6|0
K'OTK'OWACH|1|1|0
K'OTUJA_KQCINCO|6|5|1
K'OTUJA_KQCUATRO|8|6|2
K'OTUJA_NJCINCO|1|1|0
K'OTUJA_NJOCHO|1|1|0
K'OTZ'IB'AJA_NJTRES|1|1|0
K'OY|5|6|-1
K'OYABAKOJ_AKOCHO|1|1|0
K'ULB'A|1|1|0
K'ULKU_SIWAN|1|1|0
K'US_B'US|1|1|0
KA'|2|1|1
KA'IB'_K'AJOLAB'|97|101|-4
KA'IB_KAJOLAB'|0|1|-1
KA'MUL_ALOM|1|1|0
KA'MUL_K'AJOLOM|1|1|0
KAB'|1|1|0
KAB'RAQAN|21|20|1
KAJIB'_UNIM_JA|5|2|3
KAK'IXA_JA'|2|2|0
KAKAW|2|2|0
KAMALOTZ'|1|1|0
KANCHAJELEB'|1|1|0
KAQA_B'E|2|2|0
KAQA_PALO_JA'|2|2|0
KAQCHIKELEB'|13|13|0
KAQIX_TUKUR|2|2|0
KAQUILJA_JUN_RAQAN|1|1|0
KAR|5|5|0
KAWEQ|20|17|3
KAWINAL|1|1|0
KAWISIMAJ_KQSIETE|9|9|0
KAWKEB'|1|1|0
KAXKON|1|1|0
KE'EMA|1|1|0
KE'EMA_NJDIEZ|1|1|0
KEJ|24|20|4
KIK'|42|47|-5
KIK'_RE|4|4|0
KIK'_RIXK'AQ|3|3|0
KIK'_YA'|2|2|0
KINAQ'|1|1|0
KOAKUTEC|0|1|-1
KOJ|10|9|1
KOMAJKUN_AKCINCO|1|1|0
KOTZ'I'J|21|23|-2
KOTZB'ALAM|1|1|0
KUCHUMA_KIK'|16|12|4
KUMATZ|9|6|3
KUMATZ_AMAQ'|1|1|0
KUNAB'AL_TOJIL|1|1|0
KUWATEPECH_KQONCE|1|1|0
LAMAKIB'|1|1|0
LOLMET_KEJNAY|2|2|0
LOTZ_KIK'|1|1|0
MAJUK'UTAJ|55|60|-5
MAKAMOB'|1|1|0
MAKUJUTAJ|1|0|1
MAKUTAX|1|1|0
MAK_EK'|4|4|0
MAQ'A'|1|0|1
ME'AWAN|2|2|0
MEXICO|1|1|0
MIXKINA|8|5|3
MOLAY|1|1|0
MOTZ|20|21|-1
MU'J|1|1|0
NAKXIT|8|4|4
NIJA'AIB|0|1|-1
NIJA'IB|16|15|1
NIK'AQAJ_TAQ'AJ|0|1|-1
NIKAQA_TAQAJ|1|0|1
NIMA'Q_TZ'AQ_TOJIL|1|3|-2
NIMA_CH'OKOJ|1|1|0
NIMA_K'AMJA|3|2|1
NIMA_LOLMET_YE'OLTUX|1|1|0
NIMA_SIS|1|1|0
NIM_AQ|1|1|0
NIM_CH'OKOJ|9|6|3
NIM_CH'OKOJ_KAWEQ|2|2|0
NIM_CH'OKOJ_NIJA'IB'|2|2|0
NIM_XO'L|1|1|0
NIM_XOB'_KARCHAJ|1|1|0
NOJ|1|1|0
NU'_SIWAN|1|1|0
OXIB'_KEJ_KQDOCE|1|1|0
OXIB_RI_NIM_JA|8|4|4
PACHQ'AB|2|3|-1
PACHQ'AB'|3|3|0
PACH_Q'AB'|1|1|0
PAK'AM|3|2|1
PALO|12|12|0
PAM_KAJ_UPAM_ULEW|3|1|2
PATAN|9|6|3
PAXIL|4|4|0
PA_AWILIX|2|2|0
PA_MAK'A'|1|1|0
PA_TOJIL|2|2|0
PEK_UL_YA'|1|1|0
PEQ|2|2|0
PETATAYUB'|1|1|0
PICH_KEJ|1|1|0
PISOM_Q'AQ'AL|6|5|1
POM|10|12|-2
POPOL_WINAQ_CHI_T'UY|2|1|1
POPOL_WINAQ_PA_JOM_TZALATZ'|2|2|0
POPOL_WUJ|3|6|-3
PUCH_IYA|2|2|0
PUJUYU'|3|1|2
PUJUYU''|0|2|-2
PUJ_CHI_JA'|1|0|1
PUJ_YA'|1|1|0
PUSB'AL_CHAAJ|6|5|1
Q'ALEL|9|7|2
Q'ALEL_ACHIJ|1|1|0
Q'ALEL_AJAW|1|1|0
Q'ALEL_K'AMJA|1|1|0
Q'ALEL_SAQIK|1|2|-1
Q'ALIB'AJ|1|1|0
Q'ANAB'AJ|1|1|0
Q'ANA_B'E|1|1|0
Q'AQ'_LAQAM_AKTRES|1|1|0
Q'EQA_B'E|5|5|0
Q'EQUMA_JA|5|5|0
Q'INOM|2|2|0
Q'OJOM|2|3|-1
Q'OL|3|4|-1
Q'OL_CHE'|1|1|0
Q'OQ|9|5|4
Q'UKUMATZ|2|2|0
Q'UKUMATZ_KQCINCO|10|9|1
Q'UMARKAJ|4|2|2
QAMUKU|2|2|0
RAB'INALEB'|11|11|0
RAJAWAL_XIB'ALB'A|113|97|16
RAJPOP|3|1|2
RAJPOP_ACHIJ|1|1|0
RAJTZ'ALAM_ACHIJ|1|1|0
RATI'I_Q'IJ|0|1|-1
RATI'T_Q'IJ|2|1|1
RATI'T_SAQ|2|2|0
RAXA_B'E|3|1|2
RAXA_KAQULJA|8|8|0
RAXA_NANAWAK|1|1|0
SAKIL|2|1|1
SANIK|14|14|0
SANTA_CRUZ|1|1|0
SAQAJIB'|1|1|0
SAQIK|0|2|-2
SAQIKAS|10|14|-4
SAQI_B'E|2|2|0
SAQI_K'OXOL|2|2|0
SAQI_NIM_AQ_SIS|13|16|-3
SAQI_YA|1|1|0
SAQKABAJA|2|2|0
SAQULEWAB'|2|2|0
SAQ_K'UCH|1|1|0
SILISIB'|1|1|0
SIPAKNA|35|40|-5
SIS|4|3|1
SITA'L|11|12|-1
SIYAJA|1|1|0
SOCHOJ|4|4|0
SOJTZI_JA_CHIMALKAN|1|1|0
SOR_OBISPO|1|1|0
SOTZ|10|2|8
SOTZ'I_JA|6|4|2
SU'|19|12|7
SUB'AQ|1|1|0
SUYWA|7|16|-9
T'OT'_TATAN|0|1|-1
T'OT_TATAN|1|0|1
TAMASUL|22|16|6
TAMUB'|18|18|0
TAP|7|9|-2
TAPA'L|1|1|0
TATIL|1|1|0
TEKUM_KQNUEVE|1|1|0
TEKUM_KQTRECE|2|2|0
TEPEPUL_KQNUEVE|1|1|0
TEPEPUL_KQOCHO|1|1|0
TEPEPUL_KQSEIS|2|2|0
TEPEPUL_KQTRECE|2|2|0
TEPEU_Q'UKUMATZ|0|1|-1
TEPEW|2|3|-1
TEPEW_OLOMAN|2|3|-1
TEPEW_Q'UKUMATZ|12|12|0
TEPEW_YAKI|1|1|0
TIJOB'AL_JA|2|1|1
TINAMIT_K'ICHE'|32|34|-2
TOJIL|74|79|-5
TOROB|1|1|0
TUJAL_JA|3|3|0
TUKUMB'ALAM|1|1|0
TUKUR|6|4|2
TULAN|0|2|-2
TULUL|2|2|0
TULÁN|18|32|-14
TZ'AQOL|29|27|2
TZ'IKIN|46|40|6
TZ'ITE'|6|5|1
TZ'OLOJ_CHE'|1|1|0
TZ'UM|3|2|1
TZ'UNUNI_JA'|2|2|0
TZ'UTUJA|1|1|0
TZ'UTU_JA|1|1|0
TZAMIY|2|1|1
TZIKWIL_B'ALAM|1|1|0
TZIKWIL_KOJ|1|1|0
TZIMA|3|13|-10
UCH'AB'AJA|3|3|0
UCHUCH_K'AMJA|3|3|0
UK'|11|11|0
UK'U'X_CHO|1|2|-1
UK'U'X_KAJ|21|23|-2
UK'U'X_PALO|1|2|-1
UK'U'X_ULEW|7|7|0
UMUL|8|8|0
USAMAJEL_XIB'ALB'A|33|24|9
UTIW|5|5|0
UTZA'M_ACHIJ|1|1|0
UTZUTZIL_JOM|1|1|0
WA|12|11|1
WACHSOT|0|1|-1
WACH_SOT|1|0|1
WAJXALAJUJ|1|1|0
WAJXAQIB'_K'AM_KQDIEZ|1|1|0
WAK|11|10|1
WILA'|2|2|0
WINAQ_AJTZIK|0|1|-1
WINAQ_B'ALAM_AKNUEVE|1|1|0
WOK|3|3|0
WONON|11|11|0
WUB|28|15|13
WUCH'|2|2|0
WUQUB'_AJ_AKSEIS|1|1|0
WUQUB'_JUNAJPU|22|24|-2
WUQUB'_KAME'|33|34|-1
WUQUB'_KAQIX|49|46|3
WUQUB'_NO'J_KQONCE|1|1|0
XA'N|5|5|0
XAJB'AKYEJ|0|1|-1
XAJBA'KYEJ|1|0|1
XAJOJ_IB'OY|0|1|-1
XAJOJ_KUX|2|1|1
XAJOJ_PUJUY|2|3|-1
XAYAB'AJ|1|1|0
XA_Q'ANA_JAL|66|14|52
XB'ALAMQ'E|68|64|4
XBALANKE|1|0|1
XE'_B'ALAX|1|1|0
XE'_K'A'MAQ|1|1|0
XELAJUJ|2|2|0
XIB'ALB'A|36|22|14
XIK|3|1|2
XIK'|1|0|1
XIKIRIPAT|4|2|2
XIKIRI_PAT|2|5|-3
XMUKANE|4|0|4
XMUKUR|3|3|0
XPIYAKOK|23|20|3
XPURPUWEQ|3|3|0
XTZUL|1|1|0
XULU|3|2|1
XUXULIM_JA|1|3|-2
XUXULUM_JA|1|0|1
YA'XKANUL|1|1|0
YACHWACH|4|1|3
YAK|5|5|0
YAKI|5|4|1
YAKI_TEPEW|1|1|0
YAKOLATAM|1|1|0
YAKOLATAM_UTZA'M_POP_SAQLATOL|1|1|0
YOLKWAT_KITZALKWAT|1|1|0
