ana_id|n
q'ol|3
nima_k'amja|3
uchuch_k'amja|3
k'ool|3
b'aq|3
wok|3
ajal_mes|3
ajaw_xik|3
tz'um|3
rajpop|3
ajal_toq'ob|3
ajaw_nim_ch'okoj|3
junajpu_wuch'|3
k'o'ajaw_akdos|3
k'o'akutek_njdos|3
chayim_ja|3
k'oqawib_kqdos|3
tzima|3
junajpu_utiw|3
saqkabaja|2
q'alel_saqik|2
tepew|2
tepepul_kqseis|2
istayul_kqseis|2
wila'|2
ajaq_q'alel_njdoce|2
chomi_ja'|2
saqulewab'|2
xelajuj|2
tz'ununi_ja'|2
chulimal|2
tepew_oloman|2
tekum_kqtrece|2
saqajib'|2
kaqa_palo_ja'|2
tepepul_kqtrece|2
ajaw_ajtzik_winaq|2
ajaw_jaqawitz|2
ajkib'a_ja|2
saqi_k'oxol|2
puch_iya|2
aqaj|2
amaq'_tam|2
pa_tojil|2
chi_k'ix|2
b'alam_k'onache'_kqtres|2
pa_awilix|2
b'elejeb'_kej_njcuatro|2
ajtojil|2
ajq'ukumatz|2
nim_ch'okoj_kaweq|2
popol_winaq_chi_t'uy|2
lolmet_kejnay|2
popol_winaq_pa_jom_tzalatz'|2
qamuku|2
nim_ch'okoj_nija'ib'|2
ajaw_awilix|2
ajaw_lolmet|2
dios|2
kak'ixa_ja'|2
ajraxa_tzel|2
saqi_b'e|2
xajoj_pujuy|2
wuch'|2
ajraxa_laq|2
kik'_ya'|2
rati't_saq|2
kaqa_b'e|2
pachq'ab|2
kakaw|2
peq|2
ib'oy|2
rati't_q'ij|2
tijob'al_ja|2
sakil|2
q'ukumatz|2
me'awan|2
chajal_echa'|2
q'ojom|2
junajpu_k'oy|2
xajoj_kux|2
tzamiy|2
kaqix_tukur|2
ixb'alamq'e|2
jolom_tukur|2
k'ayala'|2
xikiri_pat|2
q'inom|2
ajache'|2
tulul|2
ch'abi'_tukur|2
ka'|2
juraqan_tukur|2
junajpu_juyub'|1
chuwi_meq'ena'|1
chuwa_tz'aq|1
tz'oloj_che'|1
k'ikab|1
yakolatam_utza'm_pop_saqlatol|1
pek_ul_ya'|1
q'ol_che'|1
kaquilja_jun_raqan|1
ya'xkanul|1
saqi_ya|1
makamob'|1
xajba'kyej|1
chitemaj|1
wajxalajuj|1
aj_kab'raqan|1
petatayub'|1
chi_q'aq'|1
nima_lolmet_ye'oltux|1
ka'mul_alom|1
kamalotz'|1
k'otk'owach|1
ajtoltekat|1
ajq'ol|1
tz'utuja|1
ajtz'alam|1
ajch'ut|1
kotzb'alam|1
tukumb'alam|1
q'alel_k'amja|1
xbalanke|1
ch'abi_q'aq'|1
ajyamanik|1
ajk'uwal|1
nima_sis|1
nim_aq|1
ka'mul_k'ajolom|1
pa_mak'a'|1
kawkeb'|1
kab'|1
ke'ema|1
chi_junajpu|1
don_cristóbal_njonce|1
tepew_yaki|1
k'o'akul_njdos|1
k'ochajuj_njtres|1
k'otz'ib'aja_njtres|1
k'otuja_njcinco|1
b'atz'a_njseis'|1
istayul_njsiete|1
k'otuja_njocho|1
b'elejeb'_kej_nueve|1
ke'ema_njdiez|1
ajaw_k'otuja_njonce|1
uk'u'x_palo|1
don_juan_de_rojas_kqcatorce|1
ajaw_q'alel_k'amja|1
yakolatam|1
q'aq'_laqam_aktres|1
k'okosom_akcuatro|1
komajkun_akcinco|1
wuqub'_aj_akseis|1
k'okamel_aksiete|1
k'oyabakoj_akocho|1
winaq_b'alam_aknueve|1
ajtzik_winaq_ajaw|1
uk'u'x_cho|1
don_juan_cortes_kqcatorce|1
donadiu|1
maq'a'|1
utza'm_achij|1
xayab'aj|1
siyaja|1
chuwi'_meq'ena'|1
achaq'_ib'oy|1
xe'_b'alax|1
xe'_k'a'maq|1
nima_ch'okoj|1
q'alel_ajaw|1
q'alel_achij|1
rajpop_achij|1
rajtz'alam_achij|1
nima'q_tz'aq_tojil|1
b'elejeb'_t'zi'_kqdoce|1
tz'utu_ja|1
k'ajb'a_ja|1
tepepul_kqocho|1
istayul_kqocho|1
tekum_kqnueve|1
tepepul_kqnueve|1
wajxaqib'_k'am_kqdiez|1
k'ikab'_kqdiez|1
wuqub'_no'j_kqonce|1
kuwatepech_kqonce|1
oxib'_kej_kqdoce|1
julisnab'|1
nu'_siwan|1
sor_obispo|1
b'oqotajinaq_sanayeb'|1
ja_chi_q'aq''|1
xuxulum_ja|1
xik'|1
nikaqa_taqaj|1
puj_ya'|1
chamalkan|1
nim_xo'l|1
molay|1
lotz_kik'|1
cholochik_ab'aj|1
ewab'al_siwan|1
ch'ipi_nanawak|1
utzutzil_jom|1
kunab'al_tojil|1
amaq'_uq'in_k'at|1
k'eletzu|1
kinaq'|1
saq_k'uch|1
ajbatenaja|1
yaki_tepew|1
jun_batz'_jun_chowen|1
yolkwat_kitzalkwat|1
raxa_nanawak|1
b'alam_ kolob'|1
chuq'anal|1
ajtza|1
tapa'l|1
k'awex|1
joj|1
k'el|1
k'ojaj|1
k'enech_ajaw|1
ajlatzab'|1
ajmox_wach|1
ajmuqulik_k'u'x|1
ajtukur|1
ajmoken|1
kanchajeleb'|1
ajb'is|1
ajlab'al|1
lamakib'|1
kumatz_amaq'|1
ajmak|1
ch'itik|1
ajch'umila_ja|1
xtzul|1
ajba'tena_ja|1
akul_winaq|1
mexico|1
jun_toj|1
sojtzi_ja_chimalkan|1
kaxkon|1
chamcham|1
tatil|1
q'anab'aj|1
tzikwil_koj|1
tzikwil_b'alam|1
jolom|1
pich_kej|1
makutax|1
t'ot_tatan|1
k'us_b'us|1
chiyom|1
ajpop_sotz'il|1
astapulul|1
k'ulku_siwan|1
chi_chaq'|1
jumeta_ja|1
k'ulb'a|1
kawinal|1
nim_xob'_karchaj|1
wach_sot|1
ajaw_kiche|1
pach_q'ab'|1
sub'aq|1
q'alib'aj|1
mu'j|1
ja'_simaj|1
ajpop_xajil|1
noj|1
k'im|1
torob|1
jolom_okox|1
ixtziya'|1
silisib'|1
ixkakaw|1
ixq'anil|1
ixtoj|1
ixtaj_ixpuch|1
balam_ki'tze|1
ajpatan|1
makujutaj|1
k'oka'ib|1
k'o'akul|1
k'o'akutek|1
k'o'ajaw|1
xuxulim_ja|1
q'ana_b'e|1
puj_chi_ja'|1
santa_cruz|1
