ana_id|n
NIMA'Q_TZ'AQ_TOJIL|3
NIMA_CH'OKOJ|1
NIMA_K'AMJA|2
NIMA_LOLMET_YE'OLTUX|1
NIMA_SIS|1
NIM_AQ|1
NIM_CH'OKOJ|6
NIM_CH'OKOJ_KAWEQ|2
NIM_CH'OKOJ_NIJA'IB'|2
NIM_XO'L|1
NIM_XOB'_KARCHAJ|1
NOJ|1
NU'_SIWAN|1
OXIB'_KEJ_KQDOCE|1
OXIB_RI_NIM_JA|4
PACHQ'AB|3
PACHQ'AB'|3
PACH_Q'AB'|1
PAK'AM|2
PALO|12
PAM_KAJ_UPAM_ULEW|1
PATAN|6
PAXIL|4
PA_AWILIX|2
PA_MAK'A'|1
PA_TOJIL|2
PEK_UL_YA'|1
PEQ|2
PETATAYUB'|1
PICH_KEJ|1
PISOM_Q'AQ'AL|5
POM|12
POPOL_WINAQ_CHI_T'UY|1
POPOL_WINAQ_PA_JOM_TZALATZ'|2
POPOL_WUJ|6
PUCH_IYA|2
PUJUYU'|1
PUJUYU''|2
PUJ_YA'|1
PUSB'AL_CHAAJ|5
Q'ALEL|7
Q'ALEL_ACHIJ|1
Q'ALEL_AJAW|1
Q'ALEL_K'AMJA|1
Q'ALEL_SAQIK|2
Q'ALIB'AJ|1
Q'ANAB'AJ|1
Q'ANA_B'E|1
Q'AQ'_LAQAM_AKTRES|1
Q'EQA_B'E|5
Q'EQUMA_JA|5
Q'INOM|2
Q'OJOM|3
Q'OL|4
Q'OL_CHE'|1
Q'OQ|5
Q'UKUMATZ|2
Q'UKUMATZ_KQCINCO|9
Q'UMARKAJ|2
QAMUKU|2
RAB'INALEB'|11
RAJAWAL_XIB'ALB'A|97
RAJPOP|1
RAJPOP_ACHIJ|1
RAJTZ'ALAM_ACHIJ|1
RATI'I_Q'IJ|1
RATI'T_Q'IJ|1
RATI'T_SAQ|2
RAXA_B'E|1
RAXA_KAQULJA|8
RAXA_NANAWAK|1
SAKIL|1
SANIK|14
SANTA_CRUZ|1
SAQAJIB'|1
SAQIK|2
SAQIKAS|14
SAQI_B'E|2
SAQI_K'OXOL|2
SAQI_NIM_AQ_SIS|16
SAQI_YA|1
SAQKABAJA|2
SAQULEWAB'|2
SAQ_K'UCH|1
SILISIB'|1
SIPAKNA|40
SIS|3
SITA'L|12
SIYAJA|1
SOCHOJ|4
SOJTZI_JA_CHIMALKAN|1
SOR_OBISPO|1
SOTZ|2
SOTZ'I_JA|4
SU'|12
SUB'AQ|1
SUYWA|16
T'OT'_TATAN|1
TAMASUL|16
TAMUB'|18
TAP|9
TAPA'L|1
TATIL|1
TEKUM_KQNUEVE|1
TEKUM_KQTRECE|2
TEPEPUL_KQNUEVE|1
TEPEPUL_KQOCHO|1
TEPEPUL_KQSEIS|2
TEPEPUL_KQTRECE|2
TEPEU_Q'UKUMATZ|1
TEPEW|3
TEPEW_OLOMAN|3
TEPEW_Q'UKUMATZ|12
TEPEW_YAKI|1
TIJOB'AL_JA|1
TINAMIT_K'ICHE'|34
TOJIL|79
TOROB|1
TUJAL_JA|3
TUKUMB'ALAM|1
TUKUR|4
TULAN|2
TULUL|2
TULÁN|32
TZ'AQOL|27
TZ'IKIN|40
TZ'ITE'|5
TZ'OLOJ_CHE'|1
TZ'UM|2
TZ'UNUNI_JA'|2
TZ'UTUJA|1
TZ'UTU_JA|1
TZAMIY|1
TZIKWIL_B'ALAM|1
TZIKWIL_KOJ|1
TZIMA|13
UCH'AB'AJA|3
UCHUCH_K'AMJA|3
UK'|11
UK'U'X_CHO|2
UK'U'X_KAJ|23
UK'U'X_PALO|2
UK'U'X_ULEW|7
UMUL|8
USAMAJEL_XIB'ALB'A|24
UTIW|5
UTZA'M_ACHIJ|1
UTZUTZIL_JOM|1
WA|11
WACHSOT|1
WAJXALAJUJ|1
WAJXAQIB'_K'AM_KQDIEZ|1
WAK|10
WILA'|2
WINAQ_AJTZIK|1
WINAQ_B'ALAM_AKNUEVE|1
WOK|3
WONON|11
WUB|15
WUCH'|2
WUQUB'_AJ_AKSEIS|1
WUQUB'_JUNAJPU|24
WUQUB'_KAME'|34
WUQUB'_KAQIX|46
WUQUB'_NO'J_KQONCE|1
XA'N|5
XAJB'AKYEJ|1
XAJOJ_IB'OY|1
XAJOJ_KUX|1
XAJOJ_PUJUY|3
XAYAB'AJ|1
XA_Q'ANA_JAL|14
XB'ALAMQ'E|64
XE'_B'ALAX|1
XE'_K'A'MAQ|1
XELAJUJ|2
XIB'ALB'A|22
XIK|1
XIKIRIPAT|2
XIKIRI_PAT|5
XMUKUR|3
XPIYAKOK|20
XPURPUWEQ|3
XTZUL|1
XULU|2
XUXULIM_JA|3
YA'XKANUL|1
YACHWACH|1
YAK|5
YAKI|4
YAKI_TEPEW|1
YAKOLATAM|1
YAKOLATAM_UTZA'M_POP_SAQLATOL|1
YOLKWAT_KITZALKWAT|1
